name,country,address,website,hall,stand,product_groups_top,product_groups,product_group_count,brands,trend_subjects,distribution_channels,target_markets,profile,detail_url
Foodbrain International BV,Belgium,"Brulens 23 Unit 1, 2275 Lille",http://www.foodbrain-international.com,04.2,P017,"Chocolate, chocolate products | Fine bakery products | Sugar confectionery | Trend Snacks & Natural Snacks","Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Capuccino chocolate | Chocolate, chocolate products > Chocolate with fructose and/or sweeteners/Diet chocolate | Chocolate, chocolate products > Superior dark chocolate/Superior full-milk chocolate | Chocolate, chocolate products > Yoghurt chocolate (filled and solid) | Chocolate, chocolate products > Coconut chocolate | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Marzipan chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Nougat (Hazelnut praline) chocolate/Nougat cracknel chocolate | Chocolate, chocolate products > Peppermint chocolate, solid/filled | Chocolate, chocolate products > Rum and raisin chocolate | Chocolate, chocolate products > Alcohol-filled chocolate | Chocolate, chocolate products > Truffle chocolate | Chocolate, chocolate products > Full-milk chocolate | Chocolate, chocolate products > Full-milk cracknel | Chocolate, chocolate products > Full-milk almond chocolate | Chocolate, chocolate products > Full-milk mocha chocolate | Chocolate, chocolate products > Full-milk hazelnut chocolate | Chocolate, chocolate products > Full-milk nut chocolate | Chocolate, chocolate products > Full-milk chocolate with whole almond or nuts | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Flavoured white chocolate | Chocolate, chocolate products > Alcohol-filled chocolates | Chocolate, chocolate products > Dessert chocolates | Chocolate, chocolate products > Pralines with fructose and/or sweeteners/Diet pralines | Chocolate, chocolate products > Liqueur chocolates | Chocolate, chocolate products > Praline (hazelnut praline) chocolates | Chocolate, chocolate products > Creme praline chocolates | Chocolate, chocolate products > Chocolate eggs | Chocolate, chocolate products > Cognac chocolates | Fine bakery products > Florentines | Sugar confectionery > Vegan products | Trend Snacks & Natural Snacks > Vegan trend snacks | Trend Snacks & Natural Snacks > Vegan chocolate",36,l''Héritage Chocolates,Fair trade Private label Sugar free Vegan,,China India Japan Middle East North Africa Northern Europe Others Eastern Europe Russia South Africa South East Asia Southern Europe USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/foodbrain/
Foodix srl,Italy,"Via Alfredo Catalani 39, 00199 ROMA (RM)",http://www.borboletta.it,04.2,A032,Fine bakery products | Snack foods,Fine bakery products > Biscuits made with fresh eggs | Fine bakery products > Spiced biscuits | Fine bakery products > Coconut cakes / coconut biscuits | Fine bakery products > Cakes | Fine bakery products > Speculatius biscuits | Fine bakery products > Vegan biscuits | Fine bakery products > Sugar-free biscuits | Fine bakery products > Sugar-reduced-biscuits | Fine bakery products > Fat-reduced biscuits | Fine bakery products > Lactose-free biscuits | Snack foods > Cocktail biscuits / mini-pizza biscuits | Snack foods > Salted snacks (pretzels/assortments/sticks) | Snack foods > Biscuit snacks | Snack foods > Vegan snack foods | Snack foods > Sugar-free snacks foods | Snack foods > Sugar-reduced snack foods | Snack foods > Fat-reduced snack foods | Snack foods > Lactose-free snack foods,18,Borboletta,Handcrafted products/Artisan Impulse packages Organic Vegan,,Northern Europe Others Eastern Europe Russia Southern Europe Türkiye Western Europe,,https://www.ism-cologne.com/exhibitor/foodix_srl/
"Foodle Noodle Co., Ltd.",Thailand,"Rangsit - Nakhon Nayok 98/33, 12110 Thanyaburi",http://www.foodlenoodle.com,10.1,J088,,,0,,,,,,https://www.ism-cologne.com/exhibitor/foodle_noodle_co_l/
FOODLINK BV,Netherlands,"Stationsplein 4, 2275 AZ VOORBURG",http://www.foodlink.nl,10.2,H079,Snack foods,Snack foods > Pretzels/salted cocktail snacks/salted sticks | Snack foods > Cashew nuts | Snack foods > Peanuts | Snack foods > Hazelnuts | Snack foods > Macadamia nuts | Snack foods > Corn snacks | Snack foods > Almonds | Snack foods > Assorted nuts / assorted nuts and raisins | Snack foods > Assorted nuts | Snack foods > Pecan nuts | Snack foods > Pine nuts | Snack foods > Pistachio nuts | Snack foods > Rice-snacks | Snack foods > Soya kernels | Snack foods > Walnut kernels | Snack foods > Sunflower seeds,16,,,,,,https://www.ism-cologne.com/exhibitor/foodlink/
FORA SWEETS GIDA SANAYI VE TICARET ANONIM SIRKETI,Türkiye,"Omerli mah.Hatira sk. 4 Arnavutkoy, 34555 Istanbul",http://www.sweeto.com.tr,11.1,F039,Sugar confectionery,Sugar confectionery > Licorice sweets | Sugar confectionery > Sugared jellies | Sugar confectionery > Sweet gums/jelly bears | Sugar confectionery > Gums and jelly confectionery | Sugar confectionery > Marshmallows | Sugar confectionery > Marshmallow treats/Marshmallow cones | Sugar confectionery > Mallow products/mallow eggs,7,SWEETO,Fair trade Halal Kosher Private label Vegan,,Australia Canada Colombia Northern Europe Others Eastern Europe Russia Southern Europe Türkiye USA Western Europe,,https://www.ism-cologne.com/exhibitor/fora_sweets/
FORCHY PATISSIER SAS,France,"Rue des Champs 57, 76190 YVETOT",https://forchy.com/,04.2,F020,"Chocolate, chocolate products | Fine bakery products","Chocolate, chocolate products > Chocolate biscuits | Fine bakery products > Coconut cakes / coconut biscuits | Fine bakery products > Cakes | Fine bakery products > Orange biscuits | Fine bakery products > Butter cakes | Fine bakery products > Layer cakes | Fine bakery products > Vegan biscuits",7,Forchy Pâtissier,Organic Private label,,Australia Brazil Canada China Colombia East Africa India Japan Mexico Middle East New Zealand North Africa Northern Europe Others Central America Others Eastern Europe Others Oceania Others South America Russia South Africa South East Asia Southern Europe Türkiye USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/forchy_patissier/
Forest Feast,United Kingdom,"Carn Drive 8, CRAIGAVON BT63 5WJ",http://www.forestfeast.com,04.2,H011,"Chocolate, chocolate products | Snack foods | Trend Snacks & Natural Snacks","Chocolate, chocolate products > Dark (semi-sweet) chocolate with whole nuts | Chocolate, chocolate products > Praline (hazelnut praline) chocolates | Chocolate, chocolate products > Peppermint chocolates | Snack foods > Pretzels/salted cocktail snacks/salted sticks | Snack foods > Cashew nuts | Snack foods > Peanuts | Snack foods > Hazelnuts | Snack foods > Macadamia nuts | Snack foods > Corn snacks | Snack foods > Almonds | Snack foods > Assorted nuts / assorted nuts and raisins | Snack foods > Assorted nuts / tropical fruit and nuts | Snack foods > Assorted nuts | Snack foods > Pecan nuts | Snack foods > Pistachio nuts | Snack foods > Salted snacks (pretzels/assortments/sticks) | Snack foods > Vegan snack foods | Snack foods > Gluten-free snack foods | Trend Snacks & Natural Snacks > Chocololate-coated dried fruit (pineapple, apple rings, apricots, dates, figs, plums) | Trend Snacks & Natural Snacks > Cereals/Porridge",20,Forest Feast,Impulse packages Vegan Vegetarian,,,,https://www.ism-cologne.com/exhibitor/forest_feast/
Foreverland Food s.b.r.l.,Italy,"Via Alessandro Volta 37, 70014 CONVERSANO (BA)",https://foreverland.it/it/,10.2,A093,"Chocolate, chocolate products | Fine bakery products | Raw materials and ingredients | Snack foods | Trend Snacks & Natural Snacks","Chocolate, chocolate products > Alpine milk chocolate/Alpine cream chocolate/Alpine full-milk chocolate | Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Flaked cracknel chocolate | Chocolate, chocolate products > Block chocolate | Chocolate, chocolate products > Capuccino chocolate | Chocolate, chocolate products > Cola chocolate | Chocolate, chocolate products > Chocolate with fructose and/or sweeteners/Diet chocolate | Chocolate, chocolate products > Superior dark chocolate/Superior full-milk chocolate | Chocolate, chocolate products > Peanut chocolate | Chocolate, chocolate products > Nut chocolate in transparent packing | Chocolate, chocolate products > Fruit chocolate (orange/lemon) | Chocolate, chocolate products > Fruit chocolate with cream | Chocolate, chocolate products > Household chocolate/Household milk chocolate | Chocolate, chocolate products > Ginger chocolate | Chocolate, chocolate products > Yoghurt chocolate (filled and solid) | Chocolate, chocolate products > Cocoa powder, retail packs | Chocolate, chocolate products > Instant cocoa powder, retail packs | Chocolate, chocolate products > Chocolate crisp | Chocolate, chocolate products > Coconut chocolate | Chocolate, chocolate products > Creme chocolate | Chocolate, chocolate products > Cracknel chocolate | Chocolate, chocolate products > Chocolate coating, retail packs | Chocolate, chocolate products > Aero chocolate | Chocolate, chocolate products > Almond chip chocolate | Chocolate, chocolate products > Almond cracknel chocolate | Chocolate, chocolate products > Almond praline / Hazelnut praline chocolate | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Marzipan chocolate | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Mocha chocolate, Mocha-cream chocolate, solid/filled | Chocolate, chocolate products > Nougat (Hazelnut praline) chocolate/Nougat cracknel chocolate | Chocolate, chocolate products > Nut-brittle chocolate, Nut-nougat chocolate | Chocolate, chocolate products > Peppermint chocolate, solid/filled | Chocolate, chocolate products > Small bars of peppermint chocolate, solid/filled | Chocolate, chocolate products > Tablet of filled chocolate squares | Chocolate, chocolate products > Puffed-rice chocolate | Chocolate, chocolate products > Cream chocolate | Chocolate, chocolate products > Rum and almond chocolate | Chocolate, chocolate products > Rum and raisin chocolate | Chocolate, chocolate products > Rum, hazelnut and raisin chocolate | Chocolate, chocolate products > Cream chocolate / cream cracknel chocolate | Chocolate, chocolate products > Alcohol-filled chocolate | Chocolate, chocolate products > Small bar of chocolate | Chocolate, chocolate products > Chocolate covering/couverture | Chocolate, chocolate products > Truffle chocolate | Chocolate, chocolate products > Full-milk chocolate | Chocolate, chocolate products > Full-milk cracknel | Chocolate, chocolate products > Full-milk almond chocolate | Chocolate, chocolate products > Full-milk mocha chocolate | Chocolate, chocolate products > Full-milk hazelnut chocolate | Chocolate, chocolate products > Full-milk nut chocolate | Chocolate, chocolate products > Full-milk chocolate with whole almond or nuts | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Flavoured white chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate with whole nuts | Chocolate, chocolate products > Alcohol-filled chocolates | Chocolate, chocolate products > Dessert chocolates | Chocolate, chocolate products > Pralines with fructose and/or sweeteners/Diet pralines | Chocolate, chocolate products > Peanut chips/peanut lumps/peanut pyramids | Chocolate, chocolate products > Chocolate sticks with flavoured, liquid centres | Chocolate, chocolate products > Fondant chocolates | Chocolate, chocolate products > Fruit chocolates (pineapple, apple, strawberry, raspberry, cherry, orange) | Chocolate, chocolate products > Coated jellies | Chocolate, chocolate products > Yoghurt chocolates | Chocolate, chocolate products > Creme chocolates | Chocolate, chocolate products > Chocolates coated coffee beans and coffee chocolates,solid/filled | Chocolate, chocolate products > Advocat chocolates | Chocolate, chocolate products > Cracknel chocolates | Chocolate, chocolate products > Liqueur chocolates | Chocolate, chocolate products > Almond chocolates/almond splitz/almond lumps/almond pyramids | Chocolate, chocolate products > Marzipan chocolates/marzipan and walnut chocolates | Chocolate, chocolate products > Mocha beans and mocha chocolates, solid/filled | Chocolate, chocolate products > Mozartkugeln | Chocolate, chocolate products > Praline (hazelnut praline) chocolates | Chocolate, chocolate products > Creme praline chocolates | Chocolate, chocolate products > Hazelnut lumps/hazelnut pyramids/hazelnut chips | Chocolate, chocolate products > Hazelnut chocolates | Chocolate, chocolate products > Peppermint chocolates | Chocolate, chocolate products > Chocolate eggs | Chocolate, chocolate products > Rum-filled chocolates beans/rum-filled chocolate eggs / rumballs (Jamaica rum) | Chocolate, chocolate products > Walnut chocolates | Chocolate, chocolate products > Brandy (cognac) chocolates beans | Chocolate, chocolate products > Brandy (cognac) chocolates eggs | Chocolate, chocolate products > Brandy (cognac) chocolates with cherries/Brandy chocolates | Chocolate, chocolate products > Cognac chocolates | Chocolate, chocolate products > Truffle chocolates | Chocolate, chocolate products > Advent calender/Ramadan calendar | Chocolate, chocolate products > Christmas tree chocolates | Chocolate, chocolate products > Flaked cracknel | Chocolate, chocolate products > Chocolates flake for sprinkling | Chocolate, chocolate products > Chocolate cornflake crisp (milk/plain) | Chocolate, chocolate products > Hollow chocolate figures (also filled chocolate figures) | Chocolate, chocolate products > Langues de chat (also filled) | Chocolate, chocolate products > Toys (also chocolates with toy gifts) | Chocolate, chocolate products > Chocolate items for the toy-shop | Chocolate, chocolate products > Advocat-filled chocolate items | Chocolate, chocolate products > Neapolitains | Chocolate, chocolate products > Santa sacks | Chocolate, chocolate products > Santa chocolate canes | Chocolate, chocolate products > Santa chocolate boots | Chocolate, chocolate products > Two nuts in a shell | Chocolate, chocolate products > Easter chocolate products | Chocolate, chocolate products > Layered chocolates/layered chocolate eggs | Chocolate, chocolate products > Filled chocolate Biedermeier bouquets | Chocolate, chocolate products > Gift-eggs | Chocolate, chocolate products > Puffed-rice pieces, bars | Chocolate, chocolate products > Grating chocolate | Chocolate, chocolate products > Chocolate with imprinted designs | Chocolate, chocolate products > Chocolate bars, filled/solid | Chocolate, chocolate products > Chocolate cups, chocolate bowls, chocolate pots | Chocolate, chocolate products > Chocolate leaves, chocolate tiles, chocolate buttons | Chocolate, chocolate products > Chocolate eggs, solid | Chocolate, chocolate products > Chocolate barrels/chocolate bottles (filled with liqueurs/ brandy/whisky) | Chocolate, chocolate products > Chocolate flakes/milk chocolate flakes | Chocolate, chocolate products > Chocolate-shaped hearts/chocolate-shaped hearts on strings | Chocolate, chocolate products > Chocolate witch's house | Chocolate, chocolate products > Chocolate horseshoe | Chocolate, chocolate products > Chocolate wreath, solid/filled | Chocolate, chocolate products > Chocolate balls, solid/filled | Chocolate, chocolate products > Chocolate beetles/lucky chocolate beetles/chocolate lady- birds | Chocolate, chocolate products > Chocolate coins/chocolate squares/chocolate doubloons | Chocolate, chocolate products > Chocolate biscuits | Chocolate, chocolate products > Chocolate butterflies | Chocolate, chocolate products > Chocolate slices and slithers | Chocolate, chocolate products > Chocolate sprinkles | Chocolate, chocolate products > Choc-chips | Chocolate, chocolate products > Chocolate sticks, solid/filled | Chocolate, chocolate products > Chocolate balls coated in vermicelli | Chocolate, chocolate products > Chocolate goods for Christmas | Chocolate, chocolate products > Chilled chocolate snacks | Chocolate, chocolate products > Sugar-free chocolate | Chocolate, chocolate products > Sugar-reduced chocolate | Chocolate, chocolate products > Fat-reduced chocolate | Chocolate, chocolate products > Lactose-free chocolate | Chocolate, chocolate products > Sustainable sweets & snacks | Fine bakery products > Cereal cookies | Fine bakery products > Cereal bars | Fine bakery products > Wafers, filled / without filling / plain wafers coated in chocolate | Raw materials and ingredients > Cocoa paste | Raw materials and ingredients > Cocoa powder | Raw materials and ingredients > Cacao paste | Raw materials and ingredients > Cacao products -others | Snack foods > Biscuit snacks | Trend Snacks & Natural Snacks > Chocololate-coated dried fruit (pineapple, apple rings, apricots, dates, figs, plums) | Trend Snacks & Natural Snacks > Energy and sports bars",147,Choruba,Allergy friendly Organic Private label Vegan,,Northern Europe Others Eastern Europe Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/foreverland_food_sb/
Fortuin Dockum B.V.,Netherlands,"Fortuinweg 2, 9101 PE DOKKUM",http://www.fortuin.com,03.2,A011+B010,"Chocolate, chocolate products | Sugar confectionery | Sugar-free confectionary and snacks","Chocolate, chocolate products > Chocolate coating, retail packs | Chocolate, chocolate products > Peppermint chocolate, solid/filled | Chocolate, chocolate products > Peppermint chocolates | Sugar confectionery > Refreshing candies | Sugar confectionery > Eucalyptus sweets/eucalyptus and menthol sweets | Sugar confectionery > Fruit flavoured boiled sweets | Sugar confectionery > Cough drops | Sugar confectionery > Chews | Sugar confectionery > Licorice sweets | Sugar confectionery > Peppermint sweets/balls | Sugar confectionery > Chocolate sweets/chocolate mint sweets | Sugar confectionery > Sweets made with non-sugar sweeteners | Sugar confectionery > Peppermint tables (rolls/sticks/rounds and squares) | Sugar confectionery > Sorbitol peppermint tablets | Sugar confectionery > Peppermint rings/peppermint cubes | Sugar confectionery > Peppermint tablets/peppermint rounds | Sugar confectionery > Sugar figures | Sugar confectionery > Vegan products | Sugar confectionery > Sugar-free products | Sugar confectionery > Sugar-reduced products | Sugar confectionery > Lactose-free products | Sugar-free confectionary and snacks > Sugar-free sweets",22,,Allergy friendly Halal Impulse packages Limited edition Private label Sugar free,,Australia Brazil Canada China Colombia East Africa India Japan Mexico Middle East New Zealand North Africa Northern Europe Others Central America Others Eastern Europe Others Oceania Others South America South Africa South East Asia Southern Europe Türkiye USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/fortuin_dockum/
PAINS D'EPICES FORTWENGER,France,"Route de Strasbourg 144, 67140 GERTWILLER",https://www.fortwenger.fr/,04.2,G036,"Chocolate, chocolate products | Fine bakery products","Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate | Chocolate, chocolate products > Chocolate biscuits | Fine bakery products > Bbiscuits assortments/chocolate coated biscuits | Fine bakery products > Honey spice cake / honey biscuits | Fine bakery products > Almond pastries/almondbiscuits | Fine bakery products > Speculatius biscuits | Fine bakery products > Spiced cakes / spiced biscuits",9,FORTWENGER FORTWENGER CHOCOLATERIE,,,,,https://www.ism-cologne.com/exhibitor/fortwenger/
Forum Nachhaltiger Kakao e.V.,Germany,"Reichpietschufer 20, 10785 Berlin",http://www.kakaoforum.de,P6,Passage+Halle+10+Halle+11+A001,"Chocolate, chocolate products | Publishers, Organisations","Chocolate, chocolate products > Sustainable sweets & snacks | Publishers, Organisations > Trade associations / institutions",2,,Fair trade,,,,https://www.ism-cologne.com/exhibitor/forum_nachhaltigerkakao/
"Foshancity Nanhai Songgang Suifa Food Co.,Ltd",China,"SONGGANG TOWN, NANHAI DISTRICT No. 8 RITIANLU SONGXIAGONGYEYUAN, 528234 Foshan ,Guangdong",http://www.suifafood.com,11.1,H071,Sugar confectionery | Sugar-free confectionary and snacks,Sugar confectionery > Cachous | Sugar-free confectionary and snacks > Sugar-free chewing gum,2,,,,Australia Brazil Canada China Colombia East Africa India Japan Mexico Middle East New Zealand North Africa Northern Europe Others Central America Others Eastern Europe Others Oceania Others South America Russia South Africa South East Asia Southern Europe Türkiye USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/foshancity_nanhai_so/
FOUR H DIS TICARET,Türkiye,"BEYLIKDÜZÜ ORGANIZE SANAYI SITESI SINPAS IS MODERN / GÖCMEN, 34524 ISTANBUL",https://www.richcorn.com,10.1,B110,Snack foods | Trend Snacks & Natural Snacks,Snack foods > Corn snacks | Snack foods > Popcorn/Puffed-corn/Puffed-rice | Snack foods > Rice-snacks | Snack foods > Biscuit snacks | Snack foods > Vegan snack foods | Snack foods > Fat-reduced snack foods | Snack foods > Gluten-free snack foods | Trend Snacks & Natural Snacks > Energy Snacks,8,Rich Corn Rich Corn,Halal Limited edition Organic Vegan,,Middle East Northern Europe Others Eastern Europe Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/four_h_dis_ticaret/
Fraccaro Spumadoro SpA,Italy,"Via Circonvallazione Ovest 25/27, 31033 CASTELFRANCO VENETO (TV)",http://www.pasticceriafraccaro.it,10.1,A093,Fine bakery products,Fine bakery products > Cakes | Fine bakery products > Panettone,2,Pasticceria Fraccaro,Allergy friendly Organic Private label Vegan Vegetarian,,Brazil Canada China Japan Northern Europe Others Eastern Europe South Africa Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/fraccarofraccaro_spumadoro/
Francois Doucet Confiseur SA,France,"Zone Artisanale Avenue de Traversetolo, 04700 ORAISON",http://www.francois-doucet.com,04.2,E037,"Chocolate, chocolate products | Sugar confectionery | Sugar-free confectionary and snacks | Trend Snacks & Natural Snacks","Chocolate, chocolate products > Chocolate coating, retail packs | Chocolate, chocolate products > Almond praline / Hazelnut praline chocolate | Chocolate, chocolate products > Almond-hazelnut chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Rum and raisin chocolate | Chocolate, chocolate products > Full-milk almond chocolate | Chocolate, chocolate products > Full-milk hazelnut chocolate | Chocolate, chocolate products > Full-milk nut chocolate | Chocolate, chocolate products > Full-milk chocolate with whole almond or nuts | Chocolate, chocolate products > Fruit chocolates (pineapple, apple, strawberry, raspberry, cherry, orange) | Chocolate, chocolate products > Coated jellies | Chocolate, chocolate products > Advent calender/Ramadan calendar | Chocolate, chocolate products > Chocolate goods for Christmas | Sugar confectionery > Honey sweets | Sugar confectionery > Sugared jellies | Sugar confectionery > Gums and jelly confectionery | Sugar confectionery > Vegan products | Sugar-free confectionary and snacks > Sugar-free chocolate products | Sugar-free confectionary and snacks > Sugar-free fruit jellies | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and nut bars",20,François Doucet Confiseur,Allergy friendly Fair trade Handcrafted products/Artisan Organic Sugar free,,Australia Canada Japan Mexico Middle East New Zealand Northern Europe South East Asia Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/francois_doucet/
Frank&Oli Sp. z o.o.,Poland,"Lisia 31, 05-270 Marki",http://www.frankoli.com,11.2,F061a,Snack foods | Sugar-free confectionary and snacks | Trend Snacks & Natural Snacks,"Snack foods > Vegan snack foods | Snack foods > Sugar-free snacks foods | Snack foods > Gluten-free snack foods | Sugar-free confectionary and snacks > Sugar-free biscuits | Sugar-free confectionary and snacks > Sugar-free snacks foods | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and nut bars | Trend Snacks & Natural Snacks > Energy and sports bars | Trend Snacks & Natural Snacks > Energy Snacks",8,Frank&Oli,Impulse packages Private label Sugar free Vegan,,,,https://www.ism-cologne.com/exhibitor/frank-oli_sp_z_oo/
Franz Hauswirth GesmbH,Austria,"Industrie Straße 1, 2421 Kittsee",http://chocolate-austria.com,11.2,E031,"Chocolate, chocolate products","Chocolate, chocolate products > Alpine milk chocolate/Alpine cream chocolate/Alpine full-milk chocolate | Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Block chocolate | Chocolate, chocolate products > Capuccino chocolate | Chocolate, chocolate products > Chocolate with fructose and/or sweeteners/Diet chocolate | Chocolate, chocolate products > Fruit chocolate (orange/lemon) | Chocolate, chocolate products > Fruit chocolate with cream | Chocolate, chocolate products > Milk chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Peppermint chocolate, solid/filled | Chocolate, chocolate products > Small bars of peppermint chocolate, solid/filled | Chocolate, chocolate products > Tablet of filled chocolate squares | Chocolate, chocolate products > Rum, hazelnut and raisin chocolate | Chocolate, chocolate products > Alcohol-filled chocolate | Chocolate, chocolate products > Small bar of chocolate | Chocolate, chocolate products > Full-milk chocolate | Chocolate, chocolate products > Full-milk almond chocolate | Chocolate, chocolate products > White chocolate | Chocolate, chocolate products > Flavoured white chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate with whole nuts | Chocolate, chocolate products > Alcohol-filled chocolates | Chocolate, chocolate products > Dessert chocolates | Chocolate, chocolate products > Pralines with fructose and/or sweeteners/Diet pralines | Chocolate, chocolate products > Coated jellies | Chocolate, chocolate products > Liqueur chocolates | Chocolate, chocolate products > Marzipan chocolates/marzipan and walnut chocolates | Chocolate, chocolate products > Brandy (cognac) chocolates eggs | Chocolate, chocolate products > Brandy (cognac) chocolates with cherries/Brandy chocolates | Chocolate, chocolate products > Christmas tree chocolates | Chocolate, chocolate products > Hollow chocolate figures (also filled chocolate figures) | Chocolate, chocolate products > Santa sacks | Chocolate, chocolate products > Chocolate bars, filled/solid | Chocolate, chocolate products > Chocolate eggs, solid | Chocolate, chocolate products > Chocolate barrels/chocolate bottles (filled with liqueurs/ brandy/whisky)",35,Hauswirth,Fair trade Handcrafted products/Artisan Impulse packages Limited edition Private label,,Northern Europe Others Eastern Europe Russia Southern Europe Türkiye Western Europe,,https://www.ism-cologne.com/exhibitor/franz_hauswirthaspen_animal_health/
Freeze-Dry Foods GmbH,Germany,"Am Eggenkamp 8-10, 48268 Greven",http://www.freeze-dry-foods.com,10.1,G051+H050,Raw materials and ingredients | Trend Snacks & Natural Snacks,"Raw materials and ingredients > Spices, spice mixtures | Raw materials and ingredients > Raw materials and ingredients for the production of sweets and snacks - other | Raw materials and ingredients > Fruit fillings, fruit preparations | Raw materials and ingredients > Fruit concentrates | Raw materials and ingredients > Fruit powder | Raw materials and ingredients > Fruit puree | Raw materials and ingredients > Bio-products | Trend Snacks & Natural Snacks > Dried fruit and vegetables | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and crisps/crackers | Trend Snacks & Natural Snacks > Raw Products",10,Freeze-Dry Foods GmbH Paradiesfrucht GmbH THRIVE Freezedry,Allergy friendly Halal Impulse packages Kosher Organic Private label Sugar free Vegan Vegetarian,,Australia Brazil Canada China Colombia East Africa India Japan Mexico Middle East New Zealand North Africa Northern Europe Others Central America Others Eastern Europe Others Oceania Others South America South Africa South East Asia Southern Europe Türkiye USA West Africa Western Europe,,https://www.ism-cologne.com/exhibitor/freeze_dryfreeze-dry_foods/
Frenvi GmbH,Germany,"Julius-Hatry-Str. 1, 68163 Mannheim",http://www.frenvi.de,10.1,J057,"Chocolate, chocolate products | Fine bakery products | Snack foods | Trend Snacks & Natural Snacks","Chocolate, chocolate products > Lactose-free chocolate | Chocolate, chocolate products > Sustainable sweets & snacks | Fine bakery products > Ice-cream cornets and wafers | Fine bakery products > Crunch snaps | Fine bakery products > Bars with biscuits and wafer centre | Fine bakery products > Wafers, filled / without filling / plain wafers coated in chocolate | Fine bakery products > Wafer assortment / wafer rolls / wafer fingers | Fine bakery products > Vegan biscuits | Fine bakery products > Fat-reduced biscuits | Fine bakery products > Lactose-free biscuits | Snack foods > Cocktail biscuits / mini-pizza biscuits | Snack foods > Wheat snacks | Snack foods > Vegan snack foods | Snack foods > Sugar-reduced snack foods | Snack foods > Fat-reduced snack foods | Snack foods > Lactose-free snack foods | Trend Snacks & Natural Snacks > Other savoury snacks | Trend Snacks & Natural Snacks > Vegan trend snacks | Trend Snacks & Natural Snacks > Fruit-, Vegetable- and crisps/crackers",19,"Cracker PLUS Eatlery , Cookie Cups",,,,,https://www.ism-cologne.com/exhibitor/frenvi_gmbh/
Fresh Nuts GmbH,Germany,"Rögen 42, 23843 Bad Oldesloe",http://www.meray.eu,10.2,B080,"Chocolate, chocolate products | Snack foods | Sugar confectionery","Chocolate, chocolate products > Alpine milk chocolate/Alpine cream chocolate/Alpine full-milk chocolate | Chocolate, chocolate products > Dark chocolate/Dark cream chocolate | Chocolate, chocolate products > Hazelnut milk chocolate | Chocolate, chocolate products > Full-milk chocolate | Chocolate, chocolate products > Dark (semi-sweet) chocolate | Chocolate, chocolate products > Chocolate bars, filled/solid | Snack foods > Cashew nuts | Snack foods > Peanuts | Snack foods > Macadamia nuts | Snack foods > Corn snacks | Snack foods > Almonds | Snack foods > Assorted nuts / assorted nuts and raisins | Snack foods > Assorted nuts / tropical fruit and nuts | Snack foods > Assorted nuts | Snack foods > Pecan nuts | Snack foods > Pistachio nuts | Snack foods > Walnut kernels | Snack foods > Sunflower seeds | Snack foods > Vegan snack foods | Sugar confectionery > Fruit gums/yoghurt fruit gums | Sugar confectionery > Sweet gums/jelly bears | Sugar confectionery > Sweet spreads containing cocoa, nut and dairy cream | Sugar confectionery > Other sweet spreads",23,Meray NRJ,Vegan Vegetarian,,Middle East Northern Europe Others Central America Russia Southern Europe USA Western Europe,,https://www.ism-cologne.com/exhibitor/fresh_nuts/
FROST a.s. Prešov,Slovakia,"Hlavná 57, 080 01 Presov",http://www.frostpresov.sk,03.2,D031,Fine bakery products,Fine bakery products > Milk and chocolate rolls/-croissants,1,,Private label,,Northern Europe Southern Europe Western Europe,,https://www.ism-cologne.com/exhibitor/frost_as_pre_ov/
