no,name,website,category,booth,attributes,intro,exhibited_products,product_count,product_nos,product_names,image_url,company_url,archived_at
1268,LUTOSA,https://www.lutosa.com/ja/,National Pavilion,E1-A12-20,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Flanders Investment & Trade,Frozen Shoestring French Fries | Frozen Straight Cut French Fries | Frozen Potato Wedges | Mashed Potato Specialties | Flavoured & Coated Potato Products | Organic Potato Products,"Frozen fries, Frozen Organic fries, chilled fries, frozen specialities mashed & shredded, dehydrated flakes",2,9895 | 10015,Organic Fried Potato | Ultra Coated French Fries,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1268.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1268,20250308003826
1269,Aber Falls Distillery Ltd,https://www.aberfallsdistillery.com/,National Pavilion,E3-C09-A,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : UK Group Organiser - PS8 Limited,"Aber Falls Welsh Whisky Distillery, Welsh spirits, United Kingdom, UK, Wales, Welsh Whisky, Alcohol","Aber Falls Single Malt Welsh Whisky, award winning whisky distilled, aged & bottled in Wales. Aged in a range of specially selected casks including American Oak Bourbon, Virgin Oak, and Spanish Sherry. | | Aber Falls Single Malt Welsh Whisky Maderia, the finest Single Malt Welsh whisky finished in a madeira cask. | | Aber Falls Whisky Cream Liqueur. Indulge in the luxurious taste of Aber Falls' new cream liqueur. | | Aber Falls Dry Gin. Traditional botanicals based on the London Dry style gin. | | Aber Falls Orange Marmalade Gin. A balance of sweet and bitter orange flavours, a citrus hit with a warming aftertaste.",1,10789,Aber Falls Single Malt Welsh Whisky,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1269.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1269,20250308103905
1270,Brave New Spirits Ltd.,https://www.bravenewspirits.com,National Pavilion,E3-C09-C,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : UK Group Organiser - PS8 Limited,"Our company, Brave New Spirits Ltd., was founded in 2020 with a mission to push the boundaries of Scotch whisky craftsmanship, making exceptional whisky accessible to enthusiasts worldwide. Based in our own bonded warehouse in Glasgow, Scotland, we are an innovative, independent bottler and blender. In just a few short years, we’ve received multiple industry awards for our work and established ourselves as a respected name in the whisky industry, known for quality, creativity, and our commitment to excellence as an independent bottler. | Our whisky offerings span a broad spectrum, from approachable blends | to rare, single-cask expressions that appeal to a variety of palates. Our commitment is rooted in sourcing top-quality Scotch whiskies and maturing them in some of the world’s most iconic and unique casks, with an unwavering focus on quality and flavour. Known for our bold branding and willingness to experiment, we’re continuously exploring new methods to enrich the whisky experience.","Light House Whisky, Old Smitty's, Ecosse G, Royal Cabinet",4,6840 | 6531 | 7664 | 6549,Ecosse G | Light House Whisky (Lightly Peated/Unpeated) | Old Smitty's | Royal Cabinet 20,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1270.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1270,20250306053408
1271,Hybu Cig Cymru (HCC),https://welshlambandbeef.com,National Pavilion,E3-C09-A,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : UK Group Organiser - PS8 Limited,"Welsh Lamb (UK) | As guardians of the Welsh Lamb brand, we work to raise brand awareness and demand on a global scale. | PGI Welsh Lamb has a hugely positive and ever-growing reputation for sustainability as livestock farming in Wales is overwhelmingly non-intensive and in tune with the natural environment. | Our farmers in the United Kingdom have used traditional methods have for many years been recognised for their production of superb quality lamb, and our exporters are renowned for their ability to harness and develop relationships at every level of business. Reliability is the keyword for exporters of Welsh Lamb in terms of the logistical service they provide. Exporters of Welsh Lamb have a well established reputation around the world for providing punctual deliveries and an excellent aftersales service. | Welsh Lamb is now in demand and exported to over 20 countries worldwide, and the PGI mark of traceability has been a cornerstone of this trade since the designation was awarded in 2003. |","Welsh Lamb, Welsh Beef",1,6157,Welsh Lamb - UK,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1271.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1271,20250313003811
1272,Mornflake Mighty Oats UK,https://www.mornflake.com/,National Pavilion,E3-C09-A,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : UK Group Organiser - PS8 Limited,Celebrating 350 years of Oat milling in the UK making Mornflake the 4th oldest company in UK.,"Breakfast Cereals, mainly Oat based, Granola, muesli, porridge oats.",1,8218,Mornflake Union Jack Quick Cook Oats,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1272.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1272,20250306125749
1273,New English Teas,https://www.newenglishteas.com/,National Pavilion,E3-C09-D,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : UK Group Organiser - PS8 Limited,"Our tea gifting collections are thoughtfully designed to celebrate key occasions such as Christmas, Valentine’s Day, Mother’s Day, and Easter, while also providing timeless options for year-round gifting. We are also proud to offer officially licensed ranges featuring beloved brands like Harry Potter, Peter Rabbit, Winnie the Pooh, and Alice in Wonderland.","New English Teas are suppliers of exceptional tea gifts! Our tea tins, tea caddies and gift sets feature beautiful designs and contain world-renowned tea blends which have been carefully handpicked and expertly blended to bring you the finest infusions. Our stunning collections are sold globally to an international customer base and a wide variety of sectors including large retail chains, the duty free sector, the travel and tourism sector, garden centers and hamper companies.",4,7628 | 7630 | 7608 | 7633,Harry Potter™ Tea Caddy | The Song Thrush Tea Selection Tin - Teal | Vintage Victorian Classic Tea Tin - Mint Green | Vintage Victorian Mini Tea Tin Gift Set,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1273.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1273,20250311195641
1274,The Tea Makers of London,https://www.theteamakers.co.uk/,National Pavilion,E3-C09-B,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : UK Group Organiser - PS8 Limited,"Founded in 2010 by Sam Sameen, an ex-tea maker with over 20 years of experience in the tea industry, The Tea Makers of London embodies the timeless tradition and meticulous craftsmanship synonymous with British culture. | Specializing in award-winning, single-origin estate teas, our collection represents the finest leaves from around the globe, fully traceable and expertly crafted to perfection. Since 2016, we have proudly received numerous accolades, including Great Taste Awards, recognizing the exceptional quality of our teas. | Our teas are enjoyed in some of the world’s top hospitality venues, reflecting our commitment to quality, sustainability, and transparent trade practices. Each blend tells a story—of the land, the people, and the artistry behind every cup. | Discover the true essence of Britain in every sip. With a dedication to excellence and authenticity, The Tea Makers of London continues to inspire tea lovers around the globe. |","Luxury English Breakfast, Supreme Earl Grey, Mary Grey, Royal Tea Blend, English Rose Tea, Karak Chai, Darjeeling House Blend, Assam Breakfast, Golden London Breakfast, Ceylon Breakfast, Chai of Madagascar, Turmeric Tea Blend, Bora Bora Fruit Infusion, Mango Mocktail.",3,6734 | 6747 | 6744,Deluxe Wooden Tea Envelope 9 compartment Display | Golden London Breakfast | Supreme Earl Grey,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1274.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1274,20250309024422
1275,Welsh Government,,National Pavilion,E3-C09-A,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : UK Group Organiser - PS8 Limited,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1275,20250307023148
1277,Whittard of Chelsea,https://www.whittard.com/,National Pavilion,E3-C09-F,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : UK Group Organiser - PS8 Limited,"Tea, hot chocolate, instant tea, coffee, gfitset, christmas, retail, wholesale, gifting, UK, Britain, British","Tea, hot chocolate, coffee, instant tea, giftset, christmas items",5,5318 | 5312 | 5313 | 3159 | 3232,Coffees of the World Gift Set | Tea Discoveries English Rose 25 Individually Wrapped Teabags | Tea Discoveries Mango & Bergamot Tea Caddy | Whittard Luxury Hot Chocolate | Whittard The Tea Discovery Collection,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1277.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1277,20250307022950
1278,ELITE FRESH TRADE,https://elitefreshtrade.com/,National Pavilion,E1-A12-18,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Flanders Investment & Trade,"You can see our top quality Belgian/Dutch vegetables such as White endives or leeks. | You can check our quality with your own eyes and tongue. | | Belgian chicory is the best quality in Europe, with perfectly closed leaves. | | Belgian chicory has a beautiful symmetrical shape and exudes freshness and luxury. | | Celeriac is heavy and firm, with neatly trimmed hairs and roots. | | Leek leaves are dark green and the roots are harvested with an even cut. | The white stem is perfectly straight, white, perfectly smooth and beautifully shaped.","Products and services; | | We export a wide range of vegetables and fruits, including: | | Endives | Leeks | Celeriac | Beetroots | Celery | Fennel | Shallots | Carrots | Apples | Pears | Tomatoes | Cucumbers | Peppers | Lettuce | Cabbage | Potatoes, and many more | | We offer our customers a complete service, from sourcing to delivery. We work closely with our growers and suppliers to ensure that our products are of the highest quality and meet the needs of our customers. | Also we have a Japanese employee, so you can communicate with us smoothly in Japanese",5,3611 | 3601 | 3600 | 3605 | 3610,Brussels Sprouts | Celeriac (Celery Root) | Endives/Chicory White or Red | Leek | Parsnip,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1278.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1278,20250319112800
1279,Vermeiren Princeps,,National Pavilion,E1-A12-TBC,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Flanders Investment & Trade,,"Vermeiren is a manufacturer located in Belgium since 1919 and they are specialized in making speculoos products such as: speculoos biscuits, spread and crumbles for multiple applications. The traditional recipe is based on the authentic recipe of making speculoos like they did in the past. They make speculoosbicuits in different flavours, such as: traditional - wholewheat - organic - with chocolate chips - with almonds - whitout sugar added, for retail & out of home. | Vermeiren also make speculoosspread in 3 different flavours: classic - crunchy and organic, for Retail & industrial applications. | We also serve the industrial market with production of speculoos powder & crumbles and big volumes of speculoos spread to use in pastry, chocolates, ice cream, ...",0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1279,20250309002930
1280,Biocosechas de México,,National Pavilion,E4-C18-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1280,20250306070516
1281,Biocosechas de México,https://www.biocmex.com/,National Pavilion,E4-C18-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,Agave Syrup | Agave Powders | Tequila | Organic | HALAL | FAIRTRADE | GLUTEN FREE | NON GMO,Agave Syrup | Agave Powders | Tequila,1,9018,Tequila,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1281.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1281,20250306070332
1282,AGROCOSA,https://agrocosa.com/,National Pavilion,E4-C18-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,Jalapeño Peppers | Hot Sauces,"Jalapeño peppers in vinager: Nachos sliced, Halves, Diced, Whole and Strips | Peppers: Serrano, Green Chile, Chipotle, Guajill, Ancho | Sauces: Taco Sauce, Roasted Sauce and Chipotle Adobo Puree | Tomatillo | All of them packed in : 55 glls drums, 5-2 and 1 gll pails, And palstic bags in a case of : 6/3.18 kg, 10/1.8 kg and 40/400 gr",0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1282.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1282,20250306120331
1283,HERDEZ,https://www.expo.fiestadesabores.com/,National Pavilion,E4-C18-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,Mexico es Herdez | Con toda confianza es Herdez,GUACAMOLE SAUCE/ SALSA GUACAMOLE | AVOCADO DIP / DIP DE AGUACATE | MEXICAN SAUCE / SALSA MEXICANA | DIP CHUNKY SAUCE / SALSA ROJA EN TROZOS | GREEN SAUCE / SALSA VERDE | |,5,5715 | 5703 | 5713 | 5698 | 5714,AVOCADO DIP / DIP DE AGUACATE | DIP SALSA CHUNKY/ SALSA ROJA EN TROZOS | GREEN SAUCE / SALSA VERDE | GUACAMOLE SAUCE / SALSA GUACAMOLE | MEXICAN SAUCE / SALSA MEXICANA,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1283.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1283,20250321030104
1284,SiCar Farms,https://sicarfarms.com/,National Pavilion,E4-C18-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,"We are a third-generation family business with 30 years of experience that originated in the fields of Mexico. The SiCarFarms seal of excellence integrates citrus, fruits and vegetables. | | We have several packing houses throughout Mexico and The United States, equipped with technology for a systematized selection that accelerates our processes. | | We have crops of our products in all the most important producing areas of Mexico.","Lime, | Orange, | Lime juice, | Key lime juice, | Lemon Juice, | Lime Oil, | Key lime oil, | Lemon oil",0,,,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1284.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1284,20250310171347
1285,The Agave Sweetener Company,,National Pavilion,E4-C18-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1285,20250309024403
1286,"Pandora Farm group Co.,Ltd",https://www.noyusha1338.com/about,Local Specialities in Japan,S2-C15-19,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nara Prefecture,"・About our company | We are an agricultural corporation located in Nara Prefecture. | We have been rooted in the community for 40 years, and we produce, process, and sell agricultural products mainly in Nara Prefecture and the Kii Peninsula. | | Our strength is that we handle everything from production to processing. | In order to respond to the risks associated with recent climate change, we are working on smart agriculture and expanding production areas so that we can continue to provide stable products in the future. | | ・Processed products that are gentle on the body | All production and processing is completed domestically. | In addition, we are characterized by product development that makes use of the original flavor of the ingredients with as few additives as possible. | Some of our products are certified organic by the JAS. | | ・Processed persimmon products | This time we are exhibiting dried persimmons, but we are also developing other processed dried persimmon products using different drying methods. | | ・Processed plum products | We make traditional umeboshi using only plums, salt, and shiso as ingredients.","Umeboshi, Small Plum Pickle, Red Ginger, Plum Extract, Dry Persimmon | (All Made in JAPAN, Nara Prefecture, Wakayama Prefecture, Mie Prefecture)",5,8934 | 8936 | 8937 | 8935 | 8938,ANPO KAKI(Dried persimmon) | KOUMEBOSHI (small size Pickled plum ) | NANKOU MUKASHI UMEBOSHI ( pickled plum made with Nanko plums/Traditional manufacturing method) | Plum extract | Red pickled ginger,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1286.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1286,20250321012318
1287,Maruzen Naya Syoten,,Exports from Japan,S1-P06-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Sapporo Food And Tourism International Promotion Executive Committee,Introducing the precious organic seaweed that was first cultivated in Hokkaido.,"Organic Kombu(Kelp),Organic Rishiri Kombu,Organic Wakame,Tororo Kombu,Dashi Kombu",3,5128 | 5134 | 5133,NAYA KOMBU（KELP） | Organic kombu (Kelp) | Organic Wakame,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1287.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1287,20250307230844
1289,PLAIMONT,,National Pavilion,E2-C11-1,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1289,20250318100129
1291,MICHEL GROS,https://www.domaine-michel-gros.com/,National Pavilion,E2-C11-1,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,Tasting of the complete range of wines from vintage 2023,"Burgundy wines of Domaine Michel GROS, vintage 2023 : | Bourgogne Hautes-Côtes de Nuits Blanc ""Fontaine Saint Martin"" | Bourgogne Côte d'Or | Bourgogne Hautes-Côtes de Nuits | Bourgogne Hautes-Côtes de Nuits ""Au Vallon"" | Bourgogne Hautes-Côtes de Nuits Rouge ""Fontaine Saint Martin"" | Vosne Romanée | Chambolle Musigny | Nuits Saint Georges | Nuits Saint Georges ""Les Chaliots"" | Morey Saint Denis ""En la Rue de Vergy"" | Gevrey-Chambertin ""La Platière"" | Nuits Saint Georges 1er Cru | Vosne Romanée 1er Cru ""Aux Brûlées"" | Vosne Romanée 1er Cru ""Clos des Réas"" - MONOPOLE | Clos Vougeot ""Grand Maupertuis"" | Échezeaux ""Les Loachausses"" | Richebourg",5,1843 | 1841 | 1848 | 1847 | 1845,Bourgogne Hautes-Côtes de Nuits Fontaine Saint Martin Rouge 2023 | Bourgogne Hautes-Côtes de Nuits Rouge 2023 | Richebourg 2023 | Vosne Romanée 1er Cru Clos des Réas Monopole 2023 | Vosne Romanée 2023,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1291.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1291,20250307220135
1292,CHÂTEAU PESQUIÉ,https://chateaupesquie.com/,National Pavilion,E2-C11-1,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,"A family adventure spanning three generations ! | One of the first independent wineries of the Appellation. | 1971: Acquisition of the estate by grandparents René & Odette Bastide; | 1985: Paul & Edith Chaudière, the parents, take over the Château; | 2003: Passing of the torch to the third generation Frédéric & Alexandre Chaudière; | The fourth generation is getting ready with Bastien, Victor, James & Juliette ! | | Altitude and cool microclimate : | Located at the foot of Mont Ventoux (1912 m), the vineyard enjoys a cool microclimate: | - Cool nights thanks to the elevation 300-400m (1000-1300 feet) and the influence of the Alps; | - The exceptional sunshine of Mediterranean area; | - The latest-ripening terroir of the southern Rhone Valley. | | Organic and Biodynamic : | From sustainable farming, Château Pesquié has moved to organic in the 2000’s; | First plots certified organic (Ecocert) in 2007; | Biodynamic practices start in 2015 and are validated in the vineyard by Demeter in 2019.","IGP Méditerranée Le Paradou Vermentino White 2023, | IGP Méditerranée Le Paradou Viognier White 2023 , | Vin de France sans IG Pesquié Chardonnay white 2023 Organic, | AOC Ventoux Château Pesquié Terrasses white 2023 Organic, | AOC Ventoux Château Pesquié Quintessence white 2023 Organic, | AOC Ventoux Château Pesquié Cuvée Juliette white 2023 Organic/Biodanamic, | IGP Méditerranée Le Paradou Grenache red 2023 Organic, | AOC Ventoux Château Pesquié Terrasses red 2022 Organic, | AOC Ventoux Château Pesquié Quintessence red 2022 Organic, | AOC Ventoux Château Pesquié Silica red 2022 Organic/Biodanamic, | AOC Ventoux Château Pesquié Artemia red 2021 Organic/Biodanamic, | |",4,3220 | 3218 | 2659 | 3224,AOC Ventoux Château Pesquié Quintessence red 2022 | AOC Ventoux Château Pesquié Quintessence White 2023 | AOC Ventoux Château Pesquié Terrasses white 2023 | IGP Méditerranée La Paradou Grenache 2023,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1292.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1292,20250306131244
1293,VIGNOBLES ANDRE LURTON,https://www.andrelurton.com/,National Pavilion,E2-C11-1,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,Organic | No alcool | Low alcool | Bordeaux wine grower | Pessac-Léognan | Lussac-Saint-Emilion | Margaux | Entre-Deux-Mers | Cru Classé,"Bordeaux , Lussac-Saint-Emilion, Château de Barbe Blanche, Bio / organic conversion | Bordeaux , Lussac-Saint-Emilion, Château Tour de Segur | Bordeaux, Pessac-Léognan, Château La Louvière | Bordeaux, Pessac-Léognan, Cru Classé de Graves, Château Couhins-Lurton | Bordeaux, Pessac-Léognan, Château de Cruzeau | Bordeaux, Pessac-Léognan, Château Coucheroy | Bordeaux, Château Guibon, Château Bonnet | Entre-Deux-Mers, white / red | DIANE single varietal Delux range | Bordeaux Supérieur, Château Grossombre de Saint-Joseph. | Margaux | Low Alcool | No Alcool | OH OUI, no alcool | BLA BLA, Vin de France | |",4,3624 | 3616 | 3617 | 3615,BLA BLA by Jacques LURTON | DIANE by Jacques LURTON SPARKLING RED | DIANE BY JACQUES LURTON SPARKLING WHITE | OH OUI by Jacques LURTON,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1293.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1293,20250309002816
1295,DOMAINE PUJOL,https://www.domainepujol.com/,National Pavilion,E2-C11-2,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,"Organic French wines from Languedoc, France and their producer. | AOP MINERVOIS, Domaine PUJOL wines are regularly mentioned by our long term customers, press, social media and wine competitions as DECANTER. | Entry level to Premium, some of the best value in France and overseas. | Their consistency is a highlight for our existing customers. | Fresh packaging matching with elder generation and also easily with new consumers! | A must have on the catalog. |","Organic French wines | AOP MINERVOIS, LANGUEDOC, France | White, rose, red wines |",1,2749,Organic wines,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1295.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1295,20250310001202
1298,CORDIER,,National Pavilion,E2-C11-5,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1298,20250321024901
1300,FRENCHIES WINES - GILBERT ET GAILLARD,https://frenchieswines.com/,National Pavilion,E2-C11-6,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,"Owners of 2 outstanding vineyards ( Languedoc et Loire), F. Gilbert & P. Gaillard are producing top quality wines while the management is driven by | one principle: respect for nature and our terroir. | We are also offering a range of signature wines ( IGP Pays d'Oc, Vin de France) and a family brand of Cognac to satisfy all the needs.","Languedoc Wines, Vin de France, Loire Valley, Touraine, Sauvignon Blanc, Cognac",5,3367 | 3354 | 3339 | 3372 | 2332,Château de Thésée - AOP Touraine Sauvignon ( Loire Valley) | Château Gilbert&Gaillard - Pour les Amis ( Red - 2019) | Château Gilbert&Gaillard - Red | Petit Vélo - Vin de France | Terre Sauvage Organic,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1300.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1300,20250321004952
1301,LGI WINES,https://lgi-wines.com,National Pavilion,E2-C11-7,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,"South of France supplier, excellent value for money wines. Modern and fruity, easy to drink wines.","Various varietals from South of France (Languedoc and Gascony) including: Cabernet Sauvignon, Pinot Noir, Merlot, Chardonnay, Sauvignon blanc, Viognier, Orange wines.",5,1508 | 1511 | 1507 | 1510 | 1509,LES BORGNOTTES CHARDONNAY IGP PAYS D'OC 2024 | LES BORGNOTTES PINOT NOIR IGP PAYS D'OC 2023 | LIBRE COMME L'OISEAU SAUVIGNON BLANC IGP COTES DE GASCOGNE 2024 | ONE STORY CABERNET SAUVIGNON IGP PAYS D'OC 2023 | REVERIE ORANGE VDF 2024 ORANGE WINE,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1301.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1301,20250308015638
1303,LA COMPAGNIE DE BURGONDIE,https://www.burgondie.info,National Pavilion,E2-C11-8,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,"La Compagnie de Burgondie, a key player in the Greater Burgundy wine region, prestigious alliance of seven renowned wine estates. Since our founding, our producers share common values and have been dedicated to producing and promoting quality wines that reflect the diversity and excellence of our region.","BURGUNDY & BEAUJOLAIS Wines as Bourgogne Chardonnay, Bourgogne Pinot Noir, Bourgogne Côte Chalonnaise, Mâcon Villages, Montagny, Montagny 1er cru, Crus de Beaujolais, Rully, Mercurey, Givry, Crémant de Bourgogne, Viré-Clessé, Mâcon-Azé, Beaujolais and Beaujolais-Villages",1,3327,MONTAGNY 1ER CRU Les Coères Buissonnier 2023,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1303.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1303,20250308041521
1304,M.C. LIMITED,,National Pavilion,E2-C11-9,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1304,20250308003313
1305,E.L.G.,,National Pavilion,E2-C11-9,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1305,20250312184115
1306,CAVE DE RIBEAUVILLE,,National Pavilion,E2-C11-9,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,,,0,,,,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1306,20250306035030
1309,PRODUCTA,https://www.producta-vignobles.com/,National Pavilion,E2-C11-10,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,"Bordeaux wines, South-West wines, de-alcoholised wine based beverage","Bordeaux wines, South-West wines, de-alcoholised wine based beverage",4,7005 | 7000 | 6998 | 6989,Château Bel Air | Château Léo de Prades | La Peyrière | Les Règes,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1309.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1309,20250317121857
1310,EUROVINS,https://eurovins.com/en/home/,National Pavilion,E2-C11-11,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,"Located in the heart of Bordeaux, Eurovins is a family business with two major activities: traditional negotian/trading and producer. | Since 1986, Eurovins has very quickly become an important partner in wine sales to national distributors, and has been developing its export business since 1994. | Specialized in Bordeaux wines, we also offer a wide range of other regions | (Languedoc, Côtes du Rhône, St Emilion, Champagne) as well as our selection of spirits. | Flexibility, export experience, listening and efficiency: Eurovins also supports you in creating your own brand so that you can stand out in your own market. |","Bordeaux Wine, French Wine, Made in France, Champagne, Spirits, Whiskey, gin, liquor, Medoc, Saint Emilion, Grave, red wine, white wine, entry level wine, cheap wine, small producers, gift, European wine, sparkling wine, back vintage, old vintages, varietal, cru bourgeois, Alsace, Loire, Rhone, Languedoc, Malbec, supermarket, gold medals, private label, exclusive label, MOQ, France,",1,2714,Champagne Francois Tonnel / Figarat,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1310.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1310,20250312181906
1311,BORDEAUX FAMILIES,https://www.bdxfamilies.fr/,National Pavilion,E2-C11-12,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,"Join us to explore the excellence of Bordeaux Families: | | Crémant de Bordeaux – Elegant sparkling wines with fine bubbles, perfect for celebrations and Japanese cuisine. | NoLow Wines – Non-alcoholic and low-alcohol options, ideal for mindful drinkers. | Bordeaux Reds – Classic, versatile reds, showcasing the richness of Bordeaux terroirs. | Visit us for exclusive tastings and partnership opportunities!",LOUIS VALLON CREMANT DE BORDEAUX | EXCELIUM BORDEAUX SUPERIEUR | PERLES LOUIS VALLON NO LOW,5,3262 | 3229 | 3252 | 3264 | 3265,EXCELIUM RESERVE - BORDEAUX SUPERIEUR | LOUIS VALLON BLANC BRUT - CREMANT DE BORDEAUX | LOUIS VALLON BLANC DE NOIRS - CREMANT DE BORDEAUX | PERLES LOUIS VALLON 0.0% - BABV | SAUV'TERRE 0.0% ROUGE - BABV,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/exhibitor_image_1311.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/company.php?no=1311,20250306053221
