no,name,categories,target_sector,specialities,certifications,about_importers,company,company_url,company_attributes,pavilion,booth,exhibited_products,show,image_url,product_url
3896,WonderTok strawberry popping stick 57g,Savoury Baked Products | Savoury snacks,everyone,"1. Long stick made with a combination of strawberry and popping candy | ★ If you eat it after putting it in the refrigerator in summer, it is great as a snack | 2. Easy to carry as it is individually packaged in the case | 3. Giving each other for special events or as a gift | 4. Using Reefer container(Setting: 4~10 Celsius degree) during hot summer time | 5. Made in Korea",ISO22000 | HALAL,We don't have an importer,TRUE CORP,http://www.raon2017.co.kr/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : KOTRA/GBSA,National Pavilion,E4-U18-6,"★ Thin Masterpiece | A unique sandwich product with 20 landmark buildings of Europe printed on the world's thinnest cracker. | A thin sandwich-shaped sandwich product with plenty of fragrant milk cream inside the cracker. | | Each sandwich product with European landmarks printed on it is individually packaged, making it easy to carry and store. | | A product that parents or friends can enjoy while looking at European landmarks. | This product can be conveniently consumed in offices, schools, cafes, public places, and any other place. | | ★ WonderTok Strawberry popping stick | A stick made with a combination of strawberries and popping. | It is a very popular product, especially among children, with its fragrant strawberries and popping candy that explodes in your mouth. | It is especially good to carry around after school, at academies, on picnics, and during outdoor activities. | | Each product is individually packaged, making it easy to carry around during outdoor activities. | In particular, our long chocolate stick products are sold well around the world at convenience stores, supermarkets, online, etc.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173459591205.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3896
3897,"Choco bear, Strawberry bear, Milk Bear, Biscuit filled with cream",Crackers | Salty Snacks,"Choco bear, Strawberry bear, Milk Bear, Biscuit filled with cream","Choco bear, Strawberry bear, Milk Bear, Biscuit filled with cream",HALAL | FDA | GMP,We don't have an importer,VISTA DISTRIBUTION COMPANY LIMITED,https://www.vfoods.co.th/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : THAILAND,National Pavilion,E4-A21-52,"Biscuits, cookies, Chocolate cream, Choco bear, Coconut biscuit with pineapple jam, wafer, rolled wafer stick, tasty stick, corn snack, snack.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_3897.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3897
3898,Pororo Ice cone snack Banana flavor 54g,Savoury Baked Products | Savoury snacks,everyone,"1. Ice cream cone shaped Unique and Funny snacks | ★ If you eat it after putting it in the refrigerator in summer, it is great as a snack for children. | 2. Best favorite flavors for kids | ※ Chocolate, Strawberry, Banana | 3. Inside soft and Outside crispy for kids due to Aeration production method | 4. Using 20ft Reefer container(Setting: 4~10 Celsius degree) during hot summer time",ISO22000 | HALAL,We don't have an importer,TRUE CORP,http://www.raon2017.co.kr/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : KOTRA/GBSA,National Pavilion,E4-U18-6,"★ Thin Masterpiece | A unique sandwich product with 20 landmark buildings of Europe printed on the world's thinnest cracker. | A thin sandwich-shaped sandwich product with plenty of fragrant milk cream inside the cracker. | | Each sandwich product with European landmarks printed on it is individually packaged, making it easy to carry and store. | | A product that parents or friends can enjoy while looking at European landmarks. | This product can be conveniently consumed in offices, schools, cafes, public places, and any other place. | | ★ WonderTok Strawberry popping stick | A stick made with a combination of strawberries and popping. | It is a very popular product, especially among children, with its fragrant strawberries and popping candy that explodes in your mouth. | It is especially good to carry around after school, at academies, on picnics, and during outdoor activities. | | Each product is individually packaged, making it easy to carry around during outdoor activities. | In particular, our long chocolate stick products are sold well around the world at convenience stores, supermarkets, online, etc.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_3898.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3898
3909,Frozen Mukimame,Health & Wellness Products | Frozen Fruit & Vegetables | Vegetarian | Halal | Kosher | Vegetable snacks | Dried Fruit & Vegetables,Frozen vegetable,"High quality, convenience, fresh, frozen, versatility","Other HACCP | HALAL | FSMA | FDA | Non-GMO Certification | KOSHER, BSCI, BRC",We have an importer,TNG Food - Sa Giang,"https://thanhngocfood.com/, https://sagiang.com.vn/",Overseas exhibitors | Exportable,,E5-Q26,"Frozen, Freeze-dried, Dried Fruit and Vegetable, Freeze-dried Soup, Shrimp chips, Rice noodles & Rice paper, Convenient products (Instant Pho in cup, meal kit), Sauces",FOODEX Frozen Processed Food,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173459969457.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3909
3910,Roasted Sesame Seeds,Processed agricultural products | Halal | Kosher | Solid Seasonings,"Wholesaler, Retail Distributor, Restaurant Supplier",,Other HACCP | HALAL | FDA | USDA Organic Certification | FSSC22000,,"Chung Yang Foods Co., Ltd",https://cyfood.co.kr/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Korea Agro-Fisheries & Food Trade Corporation,National Pavilion,E5-A48-A08,"Sesame Oil, Perilla Oil, Flaxseed Oil, Hempseed Oil, Roasted Sesame Seeds",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_3910.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3910
3912,Frozen Melon,Frozen Fruit & Vegetables | Halal | Kosher,Frozen fruit |,"High quality, convenience, fresh, frozen, versatility |","Other HACCP | HALAL | FSMA | FDA | Non-GMO Certification | KOSHER, BSCI, BRC",We have an importer,TNG Food - Sa Giang,"https://thanhngocfood.com/, https://sagiang.com.vn/",Overseas exhibitors | Exportable,,E5-Q26,"Frozen, Freeze-dried, Dried Fruit and Vegetable, Freeze-dried Soup, Shrimp chips, Rice noodles & Rice paper, Convenient products (Instant Pho in cup, meal kit), Sauces",FOODEX Frozen Processed Food,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_3912.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3912
3913,Lebanese Flatbread,Baked Goods | Cakes / Dessert | Bread | Frozen Baked Goods | Organic Products,"Bread, Flatbread, Lebansese, Arabic, Pita, Khobz, Wraps, Convenience, Pizza, pizzabase, daily bread, sandwich, kebab, falafel, shawarma","Convenience, restaurant, wholesale, airline, train, ferry,",ISO22000 | EU-HACCP | HALAL | EU Organic Certification | Vegan,We don't have an importer,Liba Bröd AB,https://libabrod.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Business Sweden,National Pavilion,E2-K30-00,"Flatbread, bread, arabic, lebanese, tandoori, khobz, masala, tannour, lavash, pizza base, wrap, shawarma, kebab",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_3913.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3913
3914,PDO Vesuvius Piennolo Cherry Tomato,Canned Products,"Ho.Re.Ca, Retail, 100% italian product, made in italy, PDO certified tomato","PDO, Retail, Ho.Re.Ca | |","ISO9001 | ISO22000 | EU-HACCP | FDA | PDO, BRC, IFS",We don't have an importer,Valgri - Coppola Enterprice srl,https://www.valgri.it/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-135,"Tomato Puree, Cherry Tomatoes, Peeled Tomatoes, Semi-dried Tomatoes, PDO Certified preserved tomatoes, Organic preserved tomatoes",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_3914.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3914
3915,Frozen Sweet Potato,Frozen Fruit & Vegetables | Vegetarian | Halal | Kosher | Vegetable snacks,Frozen Vegetable,"High quality, convenience, fresh, frozen, versatility | |","Other HACCP | HALAL | FSMA | FDA | Non-GMO Certification | KOSHER, BSCI, BRC",We have an importer,TNG Food - Sa Giang,"https://thanhngocfood.com/, https://sagiang.com.vn/",Overseas exhibitors | Exportable,,E5-Q26,"Frozen, Freeze-dried, Dried Fruit and Vegetable, Freeze-dried Soup, Shrimp chips, Rice noodles & Rice paper, Convenient products (Instant Pho in cup, meal kit), Sauces",FOODEX Frozen Processed Food,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_3915.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3915
3919,BOHEM AIREN - SAUVIGNON BLANC,Vegan | Organic Products | Still wines - red | Organic wines | Vegan wines,IMPORTERS - LARGE DISTRIBUTION,ORGANIC AND VEGAN SPANISH WINE,Other HACCP | FDA | Organic JAS Mark | EU Organic Certification | ISO 14001 - IFS - PGI TIERRA DE CASTILLA - CO2 FOOT PRINT,We don't have an importer,BODEGAS LATÚE BIO,https://latue.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ICEX SPAIN TRADE AND INVESTMENT,National Pavilion,E2-A21-87,BOHEM AIRÉN - SAUVIGNON BLANC 75cl. | TOSCAR AIRÉN - SAUVIGNON BLANC 75CL. | BOHEM TEMPRANILLO - GARNACHA 75CL. | TOSCAR TEMPRANILLO 75CL. | BOHEM TEMPRANILLO NO SULPHUR ADDED 75CL. | TOSCAR TEMPRANILLO NO SULPHUR ADDED 75CL. | BOHEM CABERNET SAUVIGNON - SYRAH BARRICA 75CL. | TOSCAR CABERNET SAUVIGNON- SYRAH BARRICA 75CL. | BOHEM AIRÉN NO SULPHUR ADDED 75CL. | BOHEM FRIZZANTE 75CL. | BOHEM FRIZZANTE 75CL. | MIVA VIDA FIZZY MOSCATO 75CL. | LATÚE BRUT 75CL. | BY LATÚE VERDEJO 75CL. | BY LATÚE VERDEJO 75CL. | BY LATÚE CHARDONNAY 75CL. | BY LATÚE SENSIBEL 75CL. | BY LATÚE CABERNET SAUVIGNON 75CL. | BY LATÚE CABERNET SAUVIGNON 75CL. | BY LATÚE SPARKLING CHARMAT 75CL. | LATÚE FIZZY MOSCATO 75CL. | BY LATÚE SENSIBEL MAGNUM 150CL | BY LATÚE VERDEJO MAGNUM 150CL | TOSCAR AIRÉN - SAUVIGNON BLANC BIB 3L | TOSCAR TEMPRANILLO BIB 3L | TOSCAR TEMPRANILLO ROSÉ BIB 3L,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3919
3928,Crushed Tomato Bag in Box,Canned Products,"Crushed tomato, Ho.Re.Ca, 100% italian product, made in italy, Bag in Box |",Ho.Re.Ca,"ISO9001 | ISO22000 | EU-HACCP | EU Organic Certification | BRC, IFS",We don't have an importer,Valgri - Coppola Enterprice srl,https://www.valgri.it/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-135,"Tomato Puree, Cherry Tomatoes, Peeled Tomatoes, Semi-dried Tomatoes, PDO Certified preserved tomatoes, Organic preserved tomatoes",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173460539200.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3928
3932,Norlake Frozen Pizza Margherita 18cm 193g,Frozen Ready Meals,Retail Market (SM),"Our pizzas are all about the dough, carefully crafted without compromising on ingredients, recipes, or baking methods. | | ■ Italian Flour: Made with the same high-quality flour chosen by authentic pizzerias. | ■ Low-Temperature Fermentation: Slow fermentation brings out the flavor and aroma. | ■ Hand-Stretched: Each pizza is carefully stretched for a fluffy texture. | ■ Wood-Fired: Baked in a high-temperature wood-fired oven to lock in the fragrant aroma.",,,"Norlake International CO.,LTD. UNIFOODS Corporation",http://www.norlake.co.jp,Japan exhibitors | Exportable,Imports Food,E6-Q78,"Frozen pizza, frozen cheese, frozen desserts, frozen vegetables, flour, canned goods, confectionery, olive oil",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_3932.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3932
3990,Matcha langue de chat 10pcs https://nikko-fs.com/catalog/,Baked Goods,All customers,Expiration date is 12 months. Pho's not used. Currently exporting to 25 countries. | https://nikko-fs.com/about-nikko-foods/ |,FSSC22000,We don't have an importer,"Marutou bussanhanbai co., ltd",https://marutou-b.com/,Japan exhibitors | Exportable,Sweets & Snacks,E3-G24,"Chocolate sand cookies, cream sand cookies",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173467397266.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=3990
4038,SICILIAN PESTO SAUCE WITH “PECORINO SICILIANO PDO”,"Liquid Seasoning | Health & Wellness Products | Vegetarian | Halal | Kosher | Ready-to-eat Foods, Sealed Packaged Foods (e.g., curry, rice bowl toppings)",RETAIL | IMPORTERS | DISTRIBUTORS | WHOLESALERS | SUPERMARKETS | DELICATESSEN | RESTAURANTS | GOURMET SHOPS | GIFT BASKETS | |,RETAIL | IMPORTERS | DISTRIBUTORS | WHOLESALERS | SUPERMARKETS | DELICATESSEN | RESTAURANTS | GOURMET SHOPS | GIFT BASKETS | |,ISO22000 | EU-HACCP | HALAL | FDA | Organic JAS Mark | USDA Organic Certification | EU Organic Certification | Non-GMO Certification | GFCO(Gluten-Free Certification Organization) | GFCP(Gluten Free Certification Program),We don't have an importer,CAMPO D'ORO S.r.l. Gusto Vero di Sicilia,https://www.campodoro.com/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-45,"Campo d'Oro is a family company, producer of gourmet and specialty foods located in Sciacca, Sicily. For more than 36 years, we have been producing high quality gourmet foods, pesto, tomato sauce, jam, sweet cream with high quality raw materials. | We offer a wide range of tomato sauces, pesto, bruchette, antipasti, sweets cream and jams. All our products are produced with artisanal recipes, respecting tradition and quality. We are proud to offer products of the highest quality, which satisfy the tastes of all. We are committed to providing safe, healthy and good products, to ensure customer satisfaction. We are constantly looking for innovation and development, to offer a more pleasant and satisfactory tasting experience. | The company is certified BRC, IFS, FSSC 22000, Kosher, Halal, Organic, No Gmo, Vegan, Ecovadis, Fda. | Campo d’Oro Gusto vero di Sicilia",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_4038.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4038
4043,ORGANIC ARTISANAL ORANGE MARMALADE 85% FRUIT - REDUCED SUGAR CONTENT,"Vegetarian | Vegan | Organic Products | Spreads, Honey & Jams",,,USDA Organic Certification | EU Organic Certification | ISO 14001,We don't have an importer,LORUSSO ORGANIC JAMS & MARMALADES,https://www.lorussofood.com/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ICEX SPAIN TRADE AND INVESTMENT,National Pavilion,E2-A21-60,"ORGANIC JAMS, ORGANIC MARMALADES, ORGANIC PRESERVES",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173469670962.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4043
4044,Squid Brand Fish Sauce (Green Label) - ナンプラー,Liquid Seasoning | Halal,- Importer | - Distributor | - Restaurant | - Chef,- Gluten Free | - No added MSG | - No added Preservatives | - No added Colors,ISO9001 | US-HACCP | HALAL | GMP | FSSC 22000 (Version 6),We don't have an importer,THAI FISHSAUCE FACTORY (SQUID BRAND) COMPANY LIMITED,https://squidbrand.com,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : THAILAND,National Pavilion,E4-A21-58,"Fish Sauce, Premium Fish Sauce, Vegan Fish Sauce, Truffle Fish Sauce, Fermented Fish Sauce",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_4044.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4044
4060,"LACTE 4*, Chocolate powder with milk",Non-alcoholic Beverages,"Horeca (hotels, restaurants, catering, coffee shops) and Retail (supermarkets, Convenience stores, Gourmet shops, Delicatessen shops)","> For a QUICK and EASY hot chocolate that tastes great, just adding WATER | > MADE WITH a carefully balanced MILK to give a wonderful milky taste and RICH IN COCOA (20/22 cocoa*). | > NO PRESERVATIVE | > MADE IN FRANCE with passion | | *20/22 cocoa has a best chocolate taste than fat-reducedcocoa and give a full-rounded ﬂavour.",,We don't have an importer,MONBANA,https://saveursetdelices.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,National Pavilion,E2-C11-26,"chocolate powders, chocolate snacks, vending, chocolate treats, latte, frappe drinks",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_4060.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4060
4062,"1934 stick, dark chocolate",Finger Food,"Horeca (hotels, restaurants, catering, coffee shops) and Retail (supermarkets, Convenience stores, Gourmet shops, Delicatessen shops)","A carefully-designed slim, elegant shape to make coffee time a refined taste experience. | Pure cocoa butter, no palm oil",,We don't have an importer,MONBANA,https://saveursetdelices.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,National Pavilion,E2-C11-26,"chocolate powders, chocolate snacks, vending, chocolate treats, latte, frappe drinks",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_4062.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4062
4066,YAMYAM APPLE SNACK,Health & Wellness Products | Vegan | Halal | Kosher | Vegetable snacks | Rice Crackers & Healthy Snacks,THE WHOLE FAMILY | PEOPLE WITH HEALTHY LIVING HABITS | PEOPLE WHO CONSUME KOSHER AND/OR HALAL PRODUCTS,,"HALAL | FDA | SQF CERTIFICATION, KOSHER, VEGAN, GLUTEN FREE, 100% NATURAL WITHOUT ANY ADDITIVE.",We don't have an importer,YAMYAM,https://yamyamsnacks.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,"YAMYAM APPLE SNACK, | YAMYAM APPLE-MANGO SNACK, | YAMYAM APPLE BANANA SNACK.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_4066.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4066
4067,PORK,Frozen Meat | Processed Meat,"OUR ASSOCIATION IS CONFORMED BY MEXICAN PORK EXPORTERS COMPANIES. | THEY ARE CURRENTLY EXPORTING TO ASIA, MAINLY JAPAN",,Other HACCP,We have an importer,MEXICAN PORK,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4067
4068,YAMYAM APPLE-MANGO SNACK,Gluten-free | Fresh Fruit & Vegetables | Health & Wellness Products | Vegan | Halal | Kosher | Vegetable snacks,THE WHOLE FAMILY | PEOPLE WITH HEALTHY LIVING HABITS | PEOPLE WHO CONSUME KOSHER AND/OR HALAL PRODUCTS |,,"HALAL | FDA | SQF CERTIFICATION, KOSHER, VEGAN, GLUTEN FREE, 100% NATURAL WITHOUT ANY ADDITIVE.",We don't have an importer,YAMYAM,https://yamyamsnacks.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-00,"YAMYAM APPLE SNACK, | YAMYAM APPLE-MANGO SNACK, | YAMYAM APPLE BANANA SNACK.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_4068.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4068
4075,1787 Balsamic,Vinegar,Importer and distributor. | Retail​,Retail and Food Service,,,PONTI SOCIETÀ BENEFIT,https://www.ponti.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,W2-K29-067,"balsamic vinegar, pasta sauce, balsamic glaze, vegetable with oil, vegetable with vinegar, vegetable zero olio",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4075
4076,Dolce Agro Condiment,Vinegar,,,,,PONTI SOCIETÀ BENEFIT,https://www.ponti.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,W2-K29-067,"balsamic vinegar, pasta sauce, balsamic glaze, vegetable with oil, vegetable with vinegar, vegetable zero olio",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4076
4102,SmartBarcode,Comprehensive Logistics | Japan Domestic Logistics | Export from Japan Support | Warehousing | Professional Services | DX Solutuion,"Processed food manufacturers, prepared food/bento manufacturers, agricultural organizations, trading companies, distributors, etc.","SmartBarcode is a traceability solution provided by LOZI Inc. that provides end-to-end visibility across the entire supply chain, from product manufacturing through sales and disposal. By scanning conventional barcodes with a smartphone as a “product passport,” it links and records all information—including manufacturing details, logistics data (transport routes, temperature, etc.), inventory, and sales history—enabling efficient operations, preventing shipping errors, ensuring quality control, and facilitating communication with consumers. | It visualizes the movement and history of products from raw material procurement through manufacturing, transportation, storage, sales, and disposal.",,,LOZI_SmartBarcode,https://www.lozi.jp/index.html,Japan exhibitors | Exportable,Start up,E7-DD14,SmartBarcode,FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4102
4105,Fresh Mango,Fresh Fruit & Vegetables | Processed agricultural products | Dried Fruits | Frozen Fruit & Vegetables,1. EC site | 2. Supermarket & Hypermarket | 3. DM or TV shopping | 4. Gift store | 5. Department store,"1.Award-winning Irwin mango from Pingtung County | 2.Earliest harvesting region in Taiwan | 3.Excellent taste and natural sweetness | 4.Certified food safety: TAP, ISO22000, and HACCP | 5.Flexible and diverse packaging options",ISO22000 | Other HACCP,,LU FAMILY MANGO ENTERPRISE,https://mango-lu.tw/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taiwan External Trade Development Council,National Pavilion,E5-A30-052,"Fresh Mango, Dried Mango, Frozen Mango",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_4105.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4105
4173,Beamy plant-based mix for mince,Health & Wellness Products | Vegetarian | Vegan,"Beamy is an innovative brand, designed to offer revolutionary plant-based products, such as the plant-based mix for ground mince. This legume-based dry mix is a more sustainable alternative to traditional ground meat, ideal for dishes like burritos and tacos. Targeted at a wide audience, the mix caters to vegans, vegetarians, individuals with food intolerances (gluten-free, soy-free, non-GMO, and preservative-free), and flexitarians—those who, while not following a strictly vegan or vegetarian diet, choose to include plant-based alternatives in their meals. With a shelf life of 24 months at room temperature, it offers convenience and helps minimize food waste. The mix can also be frozen after rehydration, ensuring quality and freshness are preserved. Beamy aligns with the growing demand for sustainable, clean-label products, combining convenience, taste, and environmental consciousness in one game-changing solution.","Beamy plant-based mix for mince is designed to stand out in the GDO and retail channels, offering a product that caters to the growing demand for sustainable and health-conscious food options. Its key sales points include its clean-label formulation (only four simple ingredients), free from gluten, soy, GMOs, preservatives, or additives, making it highly appealing to health-conscious consumers and those who pay more attention to sustainability. | The product’s long shelf life of 24 months at room temperature provides excellent stock management benefits for retailers while offering convenience and reduced waste for consumers. Its dry format is lightweight, compact, and easy to store, making it an ideal choice for both large supermarkets and smaller specialty retail outlets focused on organic or vegan products. | Beamy’s versatility and broad appeal—suitable for vegans, vegetarians, flexitarians, and those reducing meat consumption—make it a must-have in any store lineup.",VeganOK - BRC Gluten Free,We don't have an importer,MARTINOROSSI,https://www.martinorossispa.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-160,"MartinoRossi has expanded its portfolio with brands tailored to specific channels. Beamy, Goodly, Mais Corvino, and MrBeans focus on retail, while MartinoRossi Professional serves the foodservice industry. | Beamy offers plant-based legume mixes, providing innovative, healthy, and gluten-free solutions for meat and eggs alternatives. Goodly focuses on gluten-free breakfasts, featuring oat flakes for porridge, cocoa granola, and other nutritious options that combine taste and well-being. Mais Corvino, made from an ancient black corn variety, brings unique gluten-free products like polenta, pasta, cookies, rich in flavor and heritage. MrBeans redefines legumes as guilt-free snacks. Made from 100% Italian legumes, these gluten-free sweet and savory treats are high in fiber, rich in protein, and low in fat, offering a healthy and delicious alternative for any occasion. | For foodservice, MartinoRossi Professional provides legume and corn flours, cereals, and plant-based mixes for vegan alternatives. Gluten-free, soy-free, and allergen-free, these premium ingredients are designed for culinary professionals in the HO.RE.CA channel to elevate their creations",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_4173.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4173
4176,Frozen Nama-Dorayaki Matcha (4 pieces),Cakes / Dessert | Bread | Japanese sweets | Frozen Baked Goods,"Our target markets include Asian regions with strong demand for Japanese cuisine, such as Taiwan, Hong Kong, Singapore, and Thailand, as well as North America and other areas. Key sales channels are department stores, airport duty-free shops, convenience stores, supermarkets, and Japanese restaurants where the product can be featured on dessert menus.","A soft dorayaki pancake filled with rich cream made from fragrant Uji matcha and Hokkaido-grown azuki beans. This premium Japanese sweet combines authentic flavors with a moist, delicate texture. | | Convenient Snack or Dessert: Individually wrapped, easy to carry, and ready to enjoy after simple thawing. | Seasonal Promotions & Matcha Fairs: Featured in Japanese sweets sections during special campaigns. | Small Gifts & Bulk Purchases: 4-piece packs suitable for home use or gifting. | Perfect Pairing with Café Drinks: Ideal with coffee or matcha latte at convenience store cafés. | Frozen Dessert Section: Excellent shelf life and easy inventory management. |",,,YONEYA,https://nagomi-yoneya.co.jp/,Japan exhibitors | Exportable,Sweets & Snacks,E5-K42,"Founded in 1899, we are a traditional Japanese confectionery manufacturer with our flagship store on Omotesando Street in Naritasan. We craft authentic wagashi using local Chiba ingredients and seasonal flavors, blending tradition with innovation to deliver a sense of harmony. In recent years, we have focused on overseas markets, offering not only ambient products but also frozen wagashi for easy enjoyment by customers worldwide. Japanese food is highly popular among tourists, and wagashi is in demand at department stores, convenience stores, supermarkets, and Japanese restaurants. OEM production is available, and we propose frozen wagashi such as dorayaki, daifuku, baked sweets, and yokan for frozen sections or dessert menus.",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=4176
