no,name,has_detail,company_no,company,company_website,company_category,booth,attributes,categories,target_sector,specialities,certifications,exhibited_products,image_url,product_url
1226,Klassno Agglomerated Coffee,no,584,EMPIRE MANUFACTURING,https://www.foodempire.com/,Beverage,S1-A16,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1226
1228,Klassno Gold Freeze Dried Coffee,no,584,EMPIRE MANUFACTURING,https://www.foodempire.com/,Beverage,S1-A16,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1228
1230,Klassno Coffee Mix 3IN1,no,584,EMPIRE MANUFACTURING,https://www.foodempire.com/,Beverage,S1-A16,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1230
1234,Brown Rice Miso,yes,628,EBISUYA GENERAL PARTNERSHIP COMPANY,http://www.misoyanokitchen.com,,S2-K33-006,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN FEDERATION OF MISO MANFRS CO-OPS,Miso,・People who want to incorporate Japanese fermented foods into their daily lives for their own health. | ・People seeking the umami of Japanese cuisine. | ・People who want to pay attention to package design.,"This made with Fukuoka-grown rice, Fukuoka-grown soybeans, and coarse salt from Ako, this Evis Miso is a meticulously crafted miso with a focus on flavor. | Aged for six months, which is two to three times longer than usual, to bring out the richness of Fukuoka's local ingredients. | Among the Ebisu Miso varieties, this miso has the lowest salt content. | The robust umami makes it suitable for simple miso soup with tofu and green onions or soups like ramen.",ISO22000 | FDA,"Miso, miso products, organic, OEM, new products, natural, fermented foods, gut health, wellness, vegan, traditional, long-aged, red miso, white miso, barley miso, commercial use, easy to use, dips, sauces, seasonings",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_1234.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1234
1242,Food Empire Cafe Pho Vietnamese Iced Coffee 3iN1,no,584,EMPIRE MANUFACTURING,https://www.foodempire.com/,Beverage,S1-A16,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1242
1260,Noodle soup （Dilution type）,no,911,"Asamurasaki Co.,Ltd.",https://www.asamurasaki.co.jp/,Local Specialities in Japan,S2-K18-13,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Okayama Prefectural Industrial Promotion Foundation,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1260
1262,Three Products for Overseas Markets: 1. Ramen Broth Tonkotsu Flavor Concentrated 2. Sesame and yuzu dressing 3. Teriyaki Sauce,no,911,"Asamurasaki Co.,Ltd.",https://www.asamurasaki.co.jp/,Local Specialities in Japan,S2-K18-13,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Okayama Prefectural Industrial Promotion Foundation,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1262
1263,Just add to rice Teriyaki sauce,no,911,"Asamurasaki Co.,Ltd.",https://www.asamurasaki.co.jp/,Local Specialities in Japan,S2-K18-13,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Okayama Prefectural Industrial Promotion Foundation,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1263
1264,Liquid miso with oyster soy sauce,no,911,"Asamurasaki Co.,Ltd.",https://www.asamurasaki.co.jp/,Local Specialities in Japan,S2-K18-13,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Okayama Prefectural Industrial Promotion Foundation,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1264
1272,NATAVO Diced (Dose not go brown frozen avocados),yes,1120,NATURO/Casa Natural,https://casanatural.co.jp/,,W3-A01-23,Japan exhibitors | Exportable,Frozen Fruit & Vegetables,"This product is ideal for customers who use fresh or frozen avocados, those considering developing new avocado-based products, as well as retailers, wholesalers, trading companies, distributors, and foodservice operators.","This product is a revolutionary frozen avocado that does not brown due to oxidation, despite being completely additive-free, thanks to its patented technology. | With no additives whatsoever, it offers a flavor and texture exceptionally close to fresh avocado. | It solves the common issues associated with fresh avocados, including browning, difficulties in determining ripeness, and yield loss due to discoloration.",,“Non-browning Frozen Avocado ‘NATAVO’”,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_176455493227.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1272
1273,ISEKADO CRAFT BEER,no,308,ROYAL OF JAPAN,https://www.royalofjapan.co.jp/,Condiments / Seasoning,E1-C07,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1273
1276,KOTOKA Cider,no,1224,IZUMIYA BEVERAGE DEALER.CO.LTD,https://nara-izumiya.co.jp/,Local Specialities in Japan,S2-C15-15,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nara Prefecture,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1276
1279,Kinno yakiagodashi（Golden Grilled Flying Fish Broth）,no,1221,Arikawa-cho FisheriesCooperative Association,,Exports from Japan,S1-C03-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nagasaki Prefecture Government and Nagasaki Prefecture Fishery Products International Promotion Association,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1279
1281,FUYU Persimmon Cider,no,1224,IZUMIYA BEVERAGE DEALER.CO.LTD,https://nara-izumiya.co.jp/,Local Specialities in Japan,S2-C15-15,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nara Prefecture,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1281
1282,Sun-Ripened Pear Cider,no,1224,IZUMIYA BEVERAGE DEALER.CO.LTD,https://nara-izumiya.co.jp/,Local Specialities in Japan,S2-C15-15,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nara Prefecture,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1282
1283,Tsukigase cloudy Umeshu (Plum Wine),no,1224,IZUMIYA BEVERAGE DEALER.CO.LTD,https://nara-izumiya.co.jp/,Local Specialities in Japan,S2-C15-15,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nara Prefecture,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1283
1285,YOROIDAKE,no,1224,IZUMIYA BEVERAGE DEALER.CO.LTD,https://nara-izumiya.co.jp/,Local Specialities in Japan,S2-C15-15,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nara Prefecture,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1285
1287,"Darjeeling Tea, Assam CTC, Nilgiri Tea, South Indian Tea, Black Tea, Green Tea, Oolong Tea, Masala Tea, Milk Tea, Orthodox Tea, Specility Tea, Assam Orthodox.",no,587,JAY SHREE TEA & INDUSTRIES,https://www.jayshreetea.com,Beverage,S1-M18,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1287
1292,Shake Toro,no,1253,Eiko Foods,http://www.ytf-ohnishi.com/pro/,Exports from Japan,S1-P06-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Sapporo Food And Tourism International Promotion Executive Committee,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1292
1295,KEIRYU & ENDO,no,308,ROYAL OF JAPAN,https://www.royalofjapan.co.jp/,Condiments / Seasoning,E1-C07,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1295
1297,SENJO YUZUSHU & UMESHU,no,308,ROYAL OF JAPAN,https://www.royalofjapan.co.jp/,Condiments / Seasoning,E1-C07,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1297
1299,SENJO SAKURA GIN,no,308,ROYAL OF JAPAN,https://www.royalofjapan.co.jp/,Condiments / Seasoning,E1-C07,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1299
1301,WHISKY FUJISAN,no,308,ROYAL OF JAPAN,https://www.royalofjapan.co.jp/,Condiments / Seasoning,E1-C07,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1301
1302,"Hakurei 03 - Junmai Ginjo, Sanki amazake moto",no,423,"HAKUREI BREWING Co.,Ltd.",https://www.hakurei.co.jp,SAKE JAPAN,S1-C21,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1302
1309,Plant-based Tenderloin,yes,689,Beanstalk food S.L.,https://beanstalkfoods.com/en/,Plant Based / Alternative Food,E5-K11,Overseas exhibitors | Exportable,Frozen Meat | Vegetarian | Vegan | Halal | Processed Meat,"Plant-Based Foods, | Vegan & Vegetarian Products, | Meat Alternatives, | Gourmet Foods, | Health & Wellness, | Sustainable Foods, | High-Protein Foods","100% Vegan, | Soy-Based Meat Alternative, | High-Protein, Low-Fat, | Non-GMO Ingredients, | Tender, Meaty Texture, | Bold, Savory Flavor, | Versatile Cooking Options, | Cholesterol-Free, | Sustainable and Eco-Friendly, | Perfect for Gourmet and Everyday Meals",ISO9001 | ISO22000 | Other HACCP | HALAL | FDA | GMP | Non-GMO Certification,"Meat alternative, plant-based meat, vegan food, vegan snacks, vegan sauce, vegan salami, vegan Chorizo, vegan calamari, vegan chicken, vegan pastrami, vegan bolognese, vegan meatballs, vegan burger patty, vegan savory protein bar, vegan fish fingers, vegan cubed ham, vegan pulled pork, vegan minced meat, vegan crab paste, vegan chicken nuggets",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_1309.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1309
1322,AJIKO ＧＢ,no,278,"DAISHO CO., LTD.",,Exports from Japan,S1-T16,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1322
1323,"YAKIICHI(Garlic Soy Sauce, Black Pepper)",no,278,"DAISHO CO., LTD.",,Exports from Japan,S1-T16,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1323
1324,"Small Size Souce Bottle(Yuzu BBQ sauce, Wasabi BBQ sauce, Teriyaki sauce)",no,278,"DAISHO CO., LTD.",,Exports from Japan,S1-T16,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1324
1325,1L Big Size Souce Bottle(Grilled Eel Sauce、Wasabi Dressing、Wasabi Steak Sauce),no,278,"DAISHO CO., LTD.",,Exports from Japan,S1-T16,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1325
1326,Hot pot soup series,no,278,"DAISHO CO., LTD.",,Exports from Japan,S1-T16,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1326
1340,SSK MAYONNAISE,no,308,ROYAL OF JAPAN,https://www.royalofjapan.co.jp/,Condiments / Seasoning,E1-C07,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1340
1361,Meltique Beef Flap meat,yes,517,MELTIQUE BEEF by HOKUBEE AUSTRALIA,https://www.meltiquebeefaustralia.com.au/,FOODEX Frozen Processed Food,E5-F27,Overseas exhibitors | Exportable,Frozen Meat,"Hotel, Restaurant, Catering, Pub, Club, Retail, E-Commerce, Izakaya, Japanese restaurant, Steak restaurant, Yakiniku restaurant, Hotpot restaurant","Australian beef, Grass fed beef, Juicy, Tender, Cost effective, Less work, Less waste, Easy to handle, Frozen beef, Frozen meat, Easy to cook, Long shelf life",Other HACCP,"Meltique Beef Sirloin, Meltique Beef Striploin, Meltique Beef Ribeye, Meltique Beef Cube roll, Meltique Beef, Hokubee, Striploin, Sirloin, Cube roll, Ribeye, Rump, Flap meat, Australian Beef",,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1361
1370,"Japanese Sake, Fermented Food, Vinegar, Japanese Tea(Japanese Barley Tea),Instant Curry,Curry Powder, Tsukudani (Japanese preserved food), Citrus Fruits, 100% Mandarin Orange juice, Lemon juice",no,271,Yokkaichi Chamber of Commerce and Industry,https://www.yokkaichi-cci.or.jp/,Exports from Japan,S1-C15,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1370
1372,Vivid Like the blue sky （Blue）- Junmai Ginjo,no,423,"HAKUREI BREWING Co.,Ltd.",https://www.hakurei.co.jp,SAKE JAPAN,S1-C21,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1372
1378,komeko crumbs(Coarse),no,1010,NAMISATO CORPORATION,https://www.namisato.co.jp/,Local Specialities in Japan,S2-V10-05,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Tochigi Prefecture (Food Valley TOCHIGI promotion council),,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1378
1379,Kinno yakiagodashipack(GOLDEN GRILLED FLYING FISH DASHI PACK),no,1221,Arikawa-cho FisheriesCooperative Association,,Exports from Japan,S1-C03-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nagasaki Prefecture Government and Nagasaki Prefecture Fishery Products International Promotion Association,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1379
1381,Mama no megumi（grilled dried flying fish powder）,no,1221,Arikawa-cho FisheriesCooperative Association,,Exports from Japan,S1-C03-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nagasaki Prefecture Government and Nagasaki Prefecture Fishery Products International Promotion Association,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1381
1384,komeko crumbs (Fine),no,1010,NAMISATO CORPORATION,https://www.namisato.co.jp/,Local Specialities in Japan,S2-V10-05,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Tochigi Prefecture (Food Valley TOCHIGI promotion council),,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1384
1392,"Dessert jelly for restaurants, hotels, catering",no,1173,Nature Inc.,https://nature-kanagawa.com/,Local Specialities in Japan,S2-C18-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Kanagawa Industrial Promotion Center,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1392
1394,Gummies made with Japanese fruits,no,1173,Nature Inc.,https://nature-kanagawa.com/,Local Specialities in Japan,S2-C18-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Kanagawa Industrial Promotion Center,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1394
1405,Goto agodashi（Goto grilled dried flying fish powder pack (for making soup)),no,1221,Arikawa-cho FisheriesCooperative Association,,Exports from Japan,S1-C03-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Nagasaki Prefecture Government and Nagasaki Prefecture Fishery Products International Promotion Association,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1405
1421,"RICE STICK, RICE NOODLES",no,686,ORIENTAL FOOD,,Imports Food,E4-N01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1421
1429,RICE VERMICELLI,no,686,ORIENTAL FOOD,,Imports Food,E4-N01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1429
1432,CURRY PASTE,no,686,ORIENTAL FOOD,,Imports Food,E4-N01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1432
1439,PALM SUGAR,no,686,ORIENTAL FOOD,,Imports Food,E4-N01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1439
1441,TAPIOCA PEARLS,no,686,ORIENTAL FOOD,,Imports Food,E4-N01,Overseas exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1441
1449,IQF Blueberries,no,1035,Meadow Berry Farms Ltd,,National Pavilion,E4-A07-18,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1449
1450,IQF Cranberries,no,1035,Meadow Berry Farms Ltd,,National Pavilion,E4-A07-18,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1450
1451,Righteous Dairy Free Raspberry Lime Sorbetto,no,1164,"Righteous Gelato, Ltd.",https://www.righteousgelato.com/,National Pavilion,E4-A07-13,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1451
1454,The CHOYA FRENCH OAK 2016,no,89,CHOYA UMESHU,https://www.choya.co.jp/,Exports from Japan,S1-J10,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1454
1463,"Inoue Honten Co.,Ltd.：Ponzusyoyu",yes,89,KIOKE SHOYU EXPORT FACILITATION CONSORTIUM,https://kioke.jp/,,S2-C33,Japan exhibitors | Exportable,Soy Sauce | Liquid Seasoning,"■ Food Manufacturers / Processors: Seasoning manufacturers, soup base makers | ■ Retail: Premium supermarkets, gourmet stores, Japanese grocery stores | ■ Food Service: Japanese restaurants, Asian restaurants, hotels, airline catering | ■ Distributors / Importers: Import agents, trading companies, wholesalers | ■ E-commerce / Online Retail: Cross-border EC, online grocery, subscription boxes",Ponzu soy sauce made with wooden barrel soy sauce “Kimajime”. An authentic ponzu featuring the tangy acidity of sudachi and yuzu juices from Tokushima Prefecture. | | ［Supplement］ | This soy sauce is produced by a member brewery of the Kioke Shoyu Export Facilitation Consortium — a group of producers working together to preserve and promote the craft of traditional wooden-barrel brewing for the next 100 years.,,"Wooden Barrel Fermented Soy Sauce, Wooden Barrel Aged, Naturally Brewed, Traditional Method, Wooden Barrel, Fermented Seasoning, Soy Sauce, Japanese Seasoning, Dashi Soy Sauce, Tsuyu, Sauce, No Additives, Small Quantity, Commercial Use, Export Compatible, OEM Compatible, Overseas Seasoning, Japanese Food, Japanese Seasoning, Seasoning, Gluten-Free, Vegan, Kosher",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_1463.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1463
1466,INANIWAUDON,no,939,"Inaniwa Udon Ogawa Co.,Ltd.",https://ogawaudon.com/,Exports from Japan,S1-R07-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : YUZAWA CITY,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1466
1467,INANIWASOUMEN,no,939,"Inaniwa Udon Ogawa Co.,Ltd.",https://ogawaudon.com/,Exports from Japan,S1-R07-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : YUZAWA CITY,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1467
1468,Inaniwaudon Using 100% Hokkaido flour,no,939,"Inaniwa Udon Ogawa Co.,Ltd.",https://ogawaudon.com/,Exports from Japan,S1-R07-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : YUZAWA CITY,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1468
1469,SAKE Tochiakane RED ～Brewed with Strawberry Flower Yeast～,no,821,"SHIRASO BREWERY ＆ DISTILLERY CO.,LTD.",https://www.shiraso.com/,Local Specialities in Japan,S2-V10-03,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Tochigi Prefecture (Food Valley TOCHIGI promotion council),,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1469
1470,Inaniwaudon for business,no,939,"Inaniwa Udon Ogawa Co.,Ltd.",https://ogawaudon.com/,Exports from Japan,S1-R07-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : YUZAWA CITY,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1470
1476,"Morita Co.,Ltd：Dashi soy sauce",yes,89,KIOKE SHOYU EXPORT FACILITATION CONSORTIUM,https://kioke.jp/,,S2-C33,Japan exhibitors | Exportable,Soy Sauce | Liquid Seasoning,Retail、Food Service / Hospitality、Distributors / Importers,"It is an authentic dashi soy sauce, simmered by combining our naturally brewed wooden barrel soy sauce with dried Japanese anchovy from the Seto Inland Sea and bonito flakes from Yaizu. | | ［Supplement］ | This soy sauce is produced by a member brewery of the Kioke Shoyu Export Facilitation Consortium — a group of producers working together to preserve and promote the craft of traditional wooden-barrel brewing for the next 100 years.",FSSC22000,"Wooden Barrel Fermented Soy Sauce, Wooden Barrel Aged, Naturally Brewed, Traditional Method, Wooden Barrel, Fermented Seasoning, Soy Sauce, Japanese Seasoning, Dashi Soy Sauce, Tsuyu, Sauce, No Additives, Small Quantity, Commercial Use, Export Compatible, OEM Compatible, Overseas Seasoning, Japanese Food, Japanese Seasoning, Seasoning, Gluten-Free, Vegan, Kosher",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_1476.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1476
1477,Inaniwaudon with vegan soup,no,939,"Inaniwa Udon Ogawa Co.,Ltd.",https://ogawaudon.com/,Exports from Japan,S1-R07-00,Japan exhibitors | Exportable | Co-exhibitor | Organizer : YUZAWA CITY,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1477
1501,Vivid With passion !! （Red）- Junmai Ginjo,no,423,"HAKUREI BREWING Co.,Ltd.",https://www.hakurei.co.jp,SAKE JAPAN,S1-C21,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1501
1502,Organic Matcha,no,341,TOWA kanbutu,https://towakanbutu.co.jp/,Local Specialities in Japan,S2-K12,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1502
1503,VEGAN UMAMI RAMEN (Plant-Based Tonkotsu Flavor),yes,341,TOWA kanbutu,https://towakanbutu.co.jp/,Local Specialities in Japan,S2-K12,Japan exhibitors | Exportable,Soy Sauce | Miso | Powdered Seasoning | Liquid Seasoning | Vinegar | Noodles | Soups,Health-conscious upper-class consumers. | Premium supermarkets such as Whole Foods and Erewhon Market. | Targeting vegans and vegetarians. | | | | | | |,"Introducing our Vegan Umami Ramen, crafted to deliver a satisfying and flavorful experience while staying 100% animal-free. | | Premium Rice Flour Noodles: | Our noodles are made from Japanese rice flour and infused with powdered log-grown shiitake mushrooms. As the starch dissolves during cooking, it releases a rich umami flavor, ensuring a deep and satisfying taste even without animal-based ingredients. | | Inclusion of Japanese Dried Vegetables: | Featuring vegetables dried using traditional Japanese techniques, these ingredients not only enhance the soup's flavor with additional umami but also offer a delightful texture in every bite. | | Authentically Japanese: | Every component is made in Japan, ensuring the highest quality and authenticity. | | Flavor Variants: | Available in classic Soy Sauce and Miso flavors, providing options to suit diverse palates. | | This ramen is designed to elevate vegan and vegetarian lifestyles, addressing the common challenge of blandness in plant-based meals. Perfect for health-conscious consume",ISO9001,"Dried shiitake mushrooms, kikurage mushrooms, shrimps, fresh mushrooms, shiitake mushroom powder, dried sardines, grains, tea, lions main powder, etc.",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_1503.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1503
1504,Japanese Lions Mane Powder,no,341,TOWA kanbutu,https://towakanbutu.co.jp/,Local Specialities in Japan,S2-K12,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1504
1505,Vivid Live naturally （Green）- Junmai Ginjo,no,423,"HAKUREI BREWING Co.,Ltd.",https://www.hakurei.co.jp,SAKE JAPAN,S1-C21,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1505
1506,Hakurei Platinum - Junmai Daiginjo 40,no,423,"HAKUREI BREWING Co.,Ltd.",https://www.hakurei.co.jp,SAKE JAPAN,S1-C21,Japan exhibitors | Exportable,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1506
1507,LIBRE COMME L'OISEAU SAUVIGNON BLANC IGP COTES DE GASCOGNE 2024,no,1301,LGI WINES,https://lgi-wines.com,National Pavilion,E2-C11-7,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1507
1508,LES BORGNOTTES CHARDONNAY IGP PAYS D'OC 2024,no,1301,LGI WINES,https://lgi-wines.com,National Pavilion,E2-C11-7,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1508
1509,REVERIE ORANGE VDF 2024 ORANGE WINE,yes,1301,LGI WINES,https://lgi-wines.com,National Pavilion,E2-C11-7,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,Still wines - white,ON & OFF TRADE,Excellent value for Money orange wine from France,,"Various varietals from South of France (Languedoc and Gascony) including: Cabernet Sauvignon, Pinot Noir, Merlot, Chardonnay, Sauvignon blanc, Viognier, Orange wines.",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_1509.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1509
1510,ONE STORY CABERNET SAUVIGNON IGP PAYS D'OC 2023,yes,1301,LGI WINES,https://lgi-wines.com,National Pavilion,E2-C11-7,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,Still wines - red,ON & OFF TRADE,"Excellent Value for Money Cabernet Sauvignon from Languedoc France. Gold Medal Berliner Wine Trophy 2024. Double oaked: 3 months in French oak, 3 month with American oak.",,"Various varietals from South of France (Languedoc and Gascony) including: Cabernet Sauvignon, Pinot Noir, Merlot, Chardonnay, Sauvignon blanc, Viognier, Orange wines.",https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_1510.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1510
1511,LES BORGNOTTES PINOT NOIR IGP PAYS D'OC 2023,no,1301,LGI WINES,https://lgi-wines.com,National Pavilion,E2-C11-7,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : BUSINESS FRANCE,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1511
1512,IQF Organic Sea Buckthorn Berries,no,793,Dago Seaberry,https://dagoseaberry.com/,National Pavilion,E3-S09-00,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taste Estonia,,,,,,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1512
1517,BTT RESERVA WINE,yes,622,BODEGAS TAGUA TAGUA SPA,https://www.bodegastt.cl,FOODEX WINE,S4-C6,Overseas exhibitors | Exportable,Still wines - red | Still wines - rose | Still wines - white | Sparkling wines | Fortified wines | Flavored wines | Dessert wines | Organic wines | Vegan wines | Fruit and flavored | Non-alcoholic wines | Low-alcoholic wines,WINE; RED WINE; GRAN RESERVA WINE; MEDALS; QUALITY,BEST WINE OF CHILE 2024 - MUNDUS VINI | PRICE POINT UNDER 2 EUROS/DOLLAR,EU-HACCP | US-HACCP | Other HACCP | PRIMUS GFSI STANDARD,WINE; RED WINE; WHITE WINE; WINE IN BOTTLE; SPARKLING WINE;,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_1517.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=1517
